"type"	"id"	"reference_file_id"	"file_category"	"file_name"	"file_type"	"file_description"	"file_size"	"md5sum"	"reference_file_url"	"dcf_indexd_guid"	"study.id"
"reference_file"	"151962a1-6af9-5fe3-b96c-00e0d3c61c95"	"ed5d4d49-f89f-495c-8062-cef6001314b4"	"programmatic source code"	"c3dc_etl.py"	"py"	"Python script implementation of ETL process"	"75957"	"b2872e00d5c07bd80e56e7e6c015d7e2"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/etl/target/c3dc_etl.py"	"dcf84ed6-695f-4835-a803-6b7ea4dbc971"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"a8fec402-cde0-5055-a294-4e6841c33f58"	"68dbdc89-4b97-40d3-b5ef-a436bc37359d"	"output schema"	"schema.json"	"json"	"JSON schema representation of YAML C3DC model schema"	"161683"	"02b9c0979f87de1212fbe544d0ab1952"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/schema/schema.json"	"6083727c-8ff8-48b2-8dc3-67dc1dc7ccc1"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"012b41af-b652-5ffc-9f92-b6e40343462c"	"ea4237ee-e236-4ba1-b4c3-3ec46a409e65"	"transformation/mapping"	"C3DC Mappings.xlsx"	"xlsx"	"Excel spreadsheet (XLSX) file containing tabular source-to-destination mappings and transformations. Transformed by mapping unpivoter script into JSON format for input into ETL script."	"210058"	"9d1f2ac589ae3f820f7b6b93289aeac6"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/mapping_unpivoter/C3DC%20Mappings.xlsx"	"c44028f4-735a-4dab-8d60-de8943b3270c"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"f55e888b-3f6a-53b0-892b-ae6c70f276d0"	"024f039d-51ca-4570-b331-cb0321767ffa"	"transformation/mapping"	"phs000468.json"	"json"	"JSON file containing source-to-destination mappings and transformations. The self-referential properties 'file_size' and 'md5sum' are set to the values calculated when both fields are set to 0 and blank ('') respectively"	"102091"	"ac5f94ebc0ddcee666359522cba995a3"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/etl/target/transformations/phs000468.json"	"aab37e9c-5ce2-4ae5-b5b1-f29a8c7d9dcb"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"850fd352-20aa-5aff-a3f6-e2fe00f29df5"	"67b39f4c-612c-4077-a213-6320a6d6927f"	"input source data"	"TARGET_OS_ClinicalData_Discovery_20210520.xlsx"	"xlsx"	"Excel spreadsheet (XLSX) file containing input source data"	"23010"	"5d5abb085b7bc575002e79046f09ec65"	"s3://cds-447-target-c3dc/TARGET-OS_clinicalData_PUBLIC_20220211/TARGET_OS_ClinicalData_Discovery_20210520.xlsx"	"dg.4DFC/12871718-823a-4d0a-9db2-0a59444a3981"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"42f2005f-1b0c-5ab2-be86-e183392a2af1"	"0dff06f6-df7d-4a6c-adfd-be695d989cb2"	"input source data"	"TARGET_OS_ClinicalData_Validation_20211108.xlsx"	"xlsx"	"Excel spreadsheet (XLSX) file containing input source data"	"46031"	"e67bcdd07a847fc32bcd2a953a45113b"	"s3://cds-447-target-c3dc/TARGET-OS_clinicalData_PUBLIC_20220211/TARGET_OS_ClinicalData_Validation_20211108.xlsx"	"dg.4DFC/113619a6-c3fe-4714-b128-5030abe46e62"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"11a3ccd6-966f-51fc-a2e9-d494e6cc3ff6"	"b14b5ea2-acc7-4dec-8831-01118bb01e4a"	"programmatic source code"	"c3dc_etl.py"	"py"	"Python script implementation of ETL process"	"75957"	"b2872e00d5c07bd80e56e7e6c015d7e2"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/etl/target/c3dc_etl.py"	"2cf2d08a-7ff6-4d74-bcbd-c8abc8b39b21"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"3113c1f9-8bd9-5e8f-a100-d2f0e2465768"	"b9ea6d7c-0bdc-4cb8-9e8d-ede6ebc6a2a2"	"output schema"	"schema.json"	"json"	"JSON schema representation of YAML C3DC model schema"	"161683"	"02b9c0979f87de1212fbe544d0ab1952"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/schema/schema.json"	"9484154d-699a-4c88-8dbc-ff5d9705471b"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"a5437680-a244-5dda-8015-a075e9c2dc94"	"fe4e5c88-913e-40f9-91cd-c1b40ecaf789"	"transformation/mapping"	"C3DC Mappings.xlsx"	"xlsx"	"Excel spreadsheet (XLSX) file containing tabular source-to-destination mappings and transformations. Transformed by mapping unpivoter script into JSON format for input into ETL script."	"210058"	"9d1f2ac589ae3f820f7b6b93289aeac6"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/mapping_unpivoter/C3DC%20Mappings.xlsx"	"4a2941c6-7d39-4d6f-92a5-e4333527ad01"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
"reference_file"	"b5481b13-fcca-54ca-ba21-3c79b1c1b982"	"df8557c5-f2bf-4a7d-a6c6-7a00c30ea049"	"transformation/mapping"	"phs000468.json"	"json"	"JSON file containing source-to-destination mappings and transformations. The self-referential properties 'file_size' and 'md5sum' are set to the values calculated when both fields are set to 0 and blank ('') respectively"	"102091"	"ac5f94ebc0ddcee666359522cba995a3"	"https://github.com/chicagopcdc/c3dc_etl/blob/20241028.1/etl/target/transformations/phs000468.json"	"1f801f37-4221-499b-8b7d-1454615e7dec"	"e3c52c3e-afbe-5fdd-8691-690e124dcab5"
