type	methylation_array_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	methylation_platform	reporter_label	crdc_id	id	sample.id
methylation_array_file	PARCWP_Grn	209204310062_R08C01_Grn.idat	Methylation Array	idat		14370469	00758d052ffb48a367f859fe13159002	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310062_R08C01_Grn.idat	dg.4DFC/1ae4e12e-619b-4362-92ea-6b08c516e392	Infinium MethylationEPIC v2.0	CpG Island		fa6fd42a-c0f8-5172-919a-3fa2b39ef45b	3f3e5136-f1d8-5a2e-bd5d-92bdedcc98bd
methylation_array_file	PARCWP_Red	209204310062_R08C01_Red.idat	Methylation Array	idat		14370469	b4f73f211a63bca36c47f94666cc0c88	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310062_R08C01_Red.idat	dg.4DFC/3e569e03-d494-453e-8139-84fb0ab9ad01	Infinium MethylationEPIC v2.0	CpG Island		d6f4e02f-fec6-5035-ba01-fa10fb12dbb3	3f3e5136-f1d8-5a2e-bd5d-92bdedcc98bd
methylation_array_file	PARGHJ_Grn	209204310133_R08C01_Grn.idat	Methylation Array	idat		14370475	3f800253f35be49ae6f75dc8fa46d34f	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310133_R08C01_Grn.idat	dg.4DFC/df5d460a-8b1e-4904-a03d-35a7d38ba6a4	Infinium MethylationEPIC v2.0	CpG Island		f80e71e3-5d94-5c5e-b5e8-00aa5b54a9d7	da23d892-65e9-5b3f-933c-7c7c409701fa
methylation_array_file	PARGHJ_Red	209204310133_R08C01_Red.idat	Methylation Array	idat		14370475	0c7af3229304ee0aaa00ef52d5c93d1f	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310133_R08C01_Red.idat	dg.4DFC/7fc9dc78-86c9-4d9b-83ca-2dd8a6bd6c6c	Infinium MethylationEPIC v2.0	CpG Island		da0d892b-49d8-50b9-b057-87a22ec3b598	da23d892-65e9-5b3f-933c-7c7c409701fa
methylation_array_file	PARGIR_Grn	209204310150_R08C01_Grn.idat	Methylation Array	idat		14370489	ff21f2a60dd536c3427def48095dcee5	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310150_R08C01_Grn.idat	dg.4DFC/456cdbe6-7583-4481-a586-519bd1881e1e	Infinium MethylationEPIC v2.0	CpG Island		eb4139e5-8891-5724-8d31-3e9de7ac6f00	dd32ac65-2db0-5b28-be90-eddf71737404
methylation_array_file	PARGIR_Red	209204310150_R08C01_Red.idat	Methylation Array	idat		14370489	e088d9f47439d508de2b2b15be0f27dd	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209204310150_R08C01_Red.idat	dg.4DFC/39e23daf-e3dc-4ed1-b6e8-90fa2888c563	Infinium MethylationEPIC v2.0	CpG Island		3b31040b-725a-58ce-8ae9-28e9a92be414	dd32ac65-2db0-5b28-be90-eddf71737404
methylation_array_file	PARHBI_Grn	209202540019_R07C01_Grn.idat	Methylation Array	idat		14370469	d41fb7de56238ab5e750d79eedf7e3b8	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209202540019_R07C01_Grn.idat	dg.4DFC/1a55de16-a3ec-45ea-a446-190b62441980	Infinium MethylationEPIC v2.0	CpG Island		8eafa806-99df-53e5-b8dc-45c5dbe9e7e0	d7cdd9c6-b39c-5e29-a41a-127dd08add54
methylation_array_file	PARHBI_Red	209202540019_R07C01_Red.idat	Methylation Array	idat		14370469	7d8122fc61742b714fffdafb4a243695	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209202540019_R07C01_Red.idat	dg.4DFC/06f4fad4-a84b-45f6-ba94-22b09c27e0f9	Infinium MethylationEPIC v2.0	CpG Island		7c2957fc-4d08-59b9-ae56-ae05e8f57a8a	d7cdd9c6-b39c-5e29-a41a-127dd08add54
methylation_array_file	PARIZN_Grn	209202540037_R07C01_Grn.idat	Methylation Array	idat		14370478	cdb98c1ce5b0e7d4d7ded6aacf09724e	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209202540037_R07C01_Grn.idat	dg.4DFC/7d50c27d-effd-4cf6-96f7-363dabe048c6	Infinium MethylationEPIC v2.0	CpG Island		95906d0e-1e85-52fd-b7a2-5a71f888ea50	91cf089d-0370-5b4c-a0e0-2f34c67d7039
methylation_array_file	PARIZN_Red	209202540037_R07C01_Red.idat	Methylation Array	idat		14370478	2b6304d49670287c68eae9d68e0e109f	Participant	Controlled	['phs002276.c1']	['/programs/phs002276.c1']	s3://cds-602-phs002276-kf-pediatric-t-all/phs002276-kids-first-t-all/30-1142935357/Teachey_Methylation_Plate_3_deliverables/209202540037_R07C01_Red.idat	dg.4DFC/3599d6f3-6461-4c40-aae9-931198ad8c1d	Infinium MethylationEPIC v2.0	CpG Island		0432c8fe-0b49-527e-a7b0-1929c49916e6	91cf089d-0370-5b4c-a0e0-2f34c67d7039
