id	participant.id	sample.id	repository_of_synonym_id	synonym_id	type
01d38539-e13b-527d-83fc-066c92d3d5dd	98d8433c-831b-5a8f-b456-4d6e26034a71		GENIE_15.0	GENIE-UCSF-11502	synonym
021cc369-e7ce-5a8d-9fad-164f2ac3214e	18560a06-c2e3-5583-8b8c-e89ce446cd2a		GENIE_15.0	GENIE-UCSF-1538	synonym
04d9ec08-42d0-5a4b-ab22-b2f2d116477c	4b7c682f-ef66-526a-93e5-4e0a70d1ceed		GENIE_15.0	GENIE-UCSF-3522	synonym
067dd4f6-e43a-59e9-9c77-cb920a12ca2a	e4c7c1ec-cac2-51f8-bf68-43005d172349		NCCR	5318680	synonym
0a99cab0-409f-54cb-a145-6b43cbff5530	232d3a59-adf7-5dba-967e-88922573a3db		GENIE_15.0	GENIE-UCSF-2995	synonym
0ac86f48-08c3-5e71-8cd2-72a33d38d8fd	ec105d92-7da8-528d-a0ba-1f79dea729e7		GENIE_15.0	GENIE-UCSF-11043	synonym
0c0dfbfd-8c3c-59b9-bd94-34e62a7fa0ca	24f9c948-36bd-567a-a1a3-0c54254b99ec		GENIE_15.0	GENIE-UCSF-3719	synonym
0f7cd475-8173-5f33-af98-110be0b41a3a	0328ace8-5ea8-590d-9674-4cda315e1036		GENIE_15.0	GENIE-UCSF-1933	synonym
0f93b58e-1a70-5b5e-ac79-a3834481a46c	8e5c0266-ec8d-5ffb-823a-51fb578abdb4		GENIE_15.0	GENIE-UCSF-12416	synonym
10857465-fc0c-54f2-8c18-189b01c5967d	99605f4d-7b0a-5305-9c7f-11b2a778cedd		GENIE_15.0	GENIE-UCSF-12646	synonym
11387484-48bb-58a0-9244-3593167b194c	8d26e85c-9b86-5bc5-a2f4-624b0d2d4eed		NCCR	5416258	synonym
11a7c85d-a1de-50ff-ac8d-297f857ec1e9	aaed3d75-f42b-56b2-a6fa-102534ed30af		NCCR	5499464	synonym
1505d3a9-0e1d-575f-975f-1528f98b7f0d	6e4faf23-db81-544a-b2ee-f21dc276c86d		GENIE_15.0	GENIE-UCSF-2479	synonym
155189e2-b43f-5fe8-862a-563abb045196	a1015087-f787-5844-b852-096efeb3ba42		GENIE_15.0	GENIE-UCSF-14018	synonym
1a3b3118-7517-5bc1-b33a-af04616ef528	8f563532-2c9a-53f3-a3c2-12bfd87a9d0c		GENIE_15.0	GENIE-UCSF-1080	synonym
1b1c37b8-9c18-5365-92e9-97e1a8e9693a	aff7af93-81ea-5256-af30-197146304a7a		NCCR	5291713	synonym
1b2e67aa-6238-5ed8-bad4-3121ac644209	8a718e69-3299-5a7e-88de-0d62c5f764f7		GENIE_15.0	GENIE-UCSF-11136_1	synonym
1c2a1895-07f7-50f8-aa03-29bf02b24bc2	aa8b5363-8253-5c74-a5c0-1f488f715e2a		NCCR	5344729	synonym
1ef3bbe7-5b44-5f6e-8b5b-aa56d8a87109	d73f90f8-c6fc-5ce4-b8fb-c70a3b42b5b5		GENIE_15.0	GENIE-UCSF-1935_1	synonym
20636ee9-d159-5e50-8507-aa2e6358e9cc	a9b7ec63-4c44-52ca-8130-e57917c82d54		GENIE_15.0	GENIE-UCSF-2966	synonym
20ac4a01-a280-5171-a60f-60f23fb9c518	829ac5de-75fa-5998-a3a9-728aa6d1aa66		NCCR	5416385	synonym
229b28b5-7415-58c2-b085-8327cf4d0078	d73f90f8-c6fc-5ce4-b8fb-c70a3b42b5b5		GENIE_15.0	GENIE-UCSF-1935_2	synonym
23772709-fb0d-548e-848d-ea356d010899	443e6709-7369-5e16-9ee5-8298e3bfdb51		NCCR	5474644	synonym
291917b9-e028-57b2-8f26-21f5aa142739	0d093a79-00a3-5be5-9679-17d382e43a22		NCCR	5507871	synonym
2abb2752-e79e-58ef-ad08-0b30efa7cce2	0d97f563-ac3d-5003-b65e-e878c045308b		GENIE_15.0	GENIE-UCSF-13644	synonym
2e7d8d6c-787d-5ea9-9600-e53bf0eac8b0	a43028b4-7aba-568f-b7ad-a89649e71ca7		GENIE_15.0	GENIE-UCSF-11557	synonym
2eb8d83a-2694-5c1a-942b-9ae7e5aeb39c	2a007e10-7157-52d5-bc3c-e5acd1da63c2		GENIE_15.0	GENIE-UCSF-12693	synonym
32c4bc4d-a7bc-5bb5-bcfb-4a23a7f4f757	2d5da197-4105-5d0e-8da1-2e766ce7742b		GENIE_15.0	GENIE-UCSF-10801	synonym
366c1235-1faa-50a4-9944-60f393f073e7	f6df9b1f-da73-5764-8d94-a0476e7dfa32		GENIE_15.0	GENIE-UCSF-12010	synonym
377da1d2-fa9b-511b-9fbf-20c4df14e4eb	40f65dfd-73ca-5b4b-9d55-8815ffe65031		GENIE_15.0	GENIE-UCSF-994	synonym
383911f3-a6ff-5cee-9758-915eb494afb8	02885a13-0ed2-5a73-86a3-b7c15ec2e67d		NCCR	5486095	synonym
3f555e05-1813-5b93-932f-11942897fd20	131982db-58d2-5f2f-8248-08b19f4ef47b		GENIE_15.0	GENIE-UCSF-12822	synonym
3f616958-01ef-5813-9a61-28abcb8cfd09	9cb95f47-1c41-5541-bf84-d7b8a15a4618		GENIE_15.0	GENIE-UCSF-3158	synonym
40519380-c746-5dfd-8ad6-517c15218ac9	8a718e69-3299-5a7e-88de-0d62c5f764f7		GENIE_15.0	GENIE-UCSF-11136_2	synonym
47900749-19ef-539d-832e-a15fccaf000e	0a3e66ac-b847-551b-b4f4-308215d07c3d		GENIE_15.0	GENIE-UCSF-12557	synonym
491da518-d43a-552a-872a-3a4b89d69d8a	fe60aaf2-6d62-5811-a6ef-46e675e229c3		GENIE_15.0	GENIE-UCSF-2504	synonym
4b740119-ba92-5ddd-9fa1-ce2a8b999253	dc4ca0d2-4a12-5f4c-8e41-2c526e296a37		GENIE_15.0	GENIE-UCSF-13146	synonym
4c054d7f-b209-5542-8f3a-002527bc9edb	72d92c51-2b04-5800-901c-de34f4007263		NCCR	5321859	synonym
4c3b26b6-c49e-52a1-81d1-1d3539448c28	56a500c8-016f-56db-9334-36ac9cd6c6f0		GENIE_15.0	GENIE-UCSF-2354	synonym
4d209040-e7a4-57eb-8650-0faaa8f4a62d	aeecb91a-77ac-5a66-abae-271f71f11aac		GENIE_15.0	GENIE-UCSF-1184	synonym
4e756c57-f3c7-596e-8bce-db7789381681	97fcf0db-f3b1-56ef-9825-4cab5afa5375		GENIE_15.0	GENIE-UCSF-12088	synonym
50d0b95c-90ba-54a3-9674-26156709960e	7eb06de2-e574-580c-82ba-7e8e8d92b192		NCCR	4807044	synonym
52ebc0f7-77b9-5a9b-8822-30b6f2ed62c6	57fd0edc-8502-5a5b-bf25-9a90f167dc95		NCCR	5416158	synonym
5446aad5-6220-5e95-8190-5843dd80e74d	56a500c8-016f-56db-9334-36ac9cd6c6f0		NCCR	4965986	synonym
570010a0-4c24-5bc1-8f98-ab39d4ce8506	f5375423-13ad-5e0e-bd1d-0a1014f9dcac		GENIE_15.0	GENIE-UCSF-2505	synonym
5b2035af-b564-5fdc-9ee9-ca275f59c4c7	345884f9-7c36-57c1-89e6-6d8fbbf1ebb9		GENIE_15.0	GENIE-UCSF-14135	synonym
5b9ed9da-56f6-5878-9a23-e94aa76b06e8	68e95d73-e4f0-5cdc-b549-0a8fa5bddd53		NCCR	5249648	synonym
5c48b411-2031-50be-a433-88d663d16ab8	0109e082-ebb8-5754-9ff6-acce2ffbd0af		NCCR	5410299	synonym
5caadcae-ff98-5c45-b3cd-8d0cae42f694	689122de-f31d-53b0-a494-1d0ca116a5ed		GENIE_15.0	GENIE-UCSF-1153	synonym
5ebf077f-d930-53f7-b0b4-76c33c0715bb	c0585807-5fe9-5cc6-a5e7-550c070a34bf		GENIE_15.0	GENIE-UCSF-263	synonym
61e6ce30-bf0c-5bd1-8b98-25773b2dc0a4	71464159-cfea-5dae-949e-d17160b28589		GENIE_15.0	GENIE-UCSF-17228	synonym
64474a44-4b1d-5a6b-83ef-67615c4544b0	ca583f5b-acd7-54dd-90f4-f49195b21164		GENIE_15.0	GENIE-UCSF-2380	synonym
6889786e-4179-5d1b-91ca-ab6958daca7e	9963b36a-4313-5f2a-9775-31ac53e7b593		GENIE_15.0	GENIE-UCSF-2373	synonym
697948eb-0a20-5160-8d52-da5a7e7b9e86	9aa5c19a-2c69-54b2-9dc4-b6fabc9dfd36		GENIE_15.0	GENIE-UCSF-11316	synonym
69856f6b-7d94-5401-866f-72bbcc94e8e8	420b1d55-7e18-506d-8ade-6a3d18c2ed8a		GENIE_15.0	GENIE-UCSF-12039	synonym
6a07e8f2-4cce-5721-a2d3-264bd6df099c	2d586fbf-894d-57b8-9245-2dcc894e50f6		NCCR	5424837	synonym
6b49f3c9-0d13-52ec-b4da-30ebbe3258be	5f4d4cc4-3e52-598c-9ac4-0f283f424beb		GENIE_15.0	GENIE-UCSF-11579	synonym
