type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	701-8	FPRMS701	NSG	Not Reported	injection	subcutaneous		Not Reported				05ba53d0-9ea1-59cd-bc1c-c835eb7202f7		cc18cdb8-30a1-51da-b60f-fdc43fa7b62a
pdx	766-9	OS766	NSG	Not Reported	injection	subcutaneous		Not Reported				09579ac3-a793-52f3-974a-f87652a4ed8b		a322a9cd-9006-5aac-b2b8-46849d8457a2
pdx	PSS089	OS186	NSG	Not Reported	injection	subcutaneous		Not Reported				139900da-733f-51fd-b389-6a802e98e0d8		e12a8519-2f0b-5d80-a190-c7cda9e3e953
pdx	PSS091A	OS337	NSG	Not Reported	injection	subcutaneous		Not Reported				1cabec31-3dc5-5ad5-aff9-e18a89d06c01		a2e8fded-234d-5c5c-b817-531ffeaf6672
pdx	454-22	OS454	NSG	Not Reported	injection	subcutaneous		Not Reported				1cce1d08-c704-5942-bed4-a10ff946659d		2cfecd54-55af-5684-b66b-f8ae58c5545e
pdx	PSS126M	OS357	NSG	Not Reported	injection	subcutaneous		Not Reported				2038b788-bcb5-5fc9-bf89-f5ea6cebcf39		c986decc-0d72-52ea-90bd-2c9e2b7fec78
pdx	PSS018	OS128	NSG	Not Reported	injection	subcutaneous		Not Reported				2231d9bf-13af-53e0-bc3c-984d938893fa		3ba5a39f-9cb7-5bc5-9b60-994551676a03
pdx	PSS113	OS301	NSG	Not Reported	injection	subcutaneous		Not Reported				3cdfae66-8d82-53ce-af6e-2a001f7e97bd		7177cc6f-99b4-511c-963b-1904cfe32d6b
pdx	PSS132	EWS390	NSG	Not Reported	injection	subcutaneous		Not Reported				40b48000-f692-5140-9c3d-de195cd8da31		3360666e-3d1e-51a7-9c47-f02061975ec4
pdx	PSS121	NRSTS322	NSG	Not Reported	injection	subcutaneous		Not Reported				45b39326-1d93-5750-ab9f-ec5bee378647		4d68436d-d645-598b-b402-39b8c7dea8e6
pdx	PSS157	OS560	NSG	Not Reported	injection	subcutaneous		Not Reported				46d44c4c-a67c-5a9e-86df-4e0dccdde987		de10da84-9fdc-545a-b9ad-7dc5431c3f6b
pdx	PSS008	OS052	NSG	Not Reported	injection	subcutaneous		Not Reported				57f875a7-397e-5ba5-8cdd-998140ca6457		dc14211f-7666-55f1-9e0c-9db19a5b5ca3
pdx	PSS131R	OS384R	NSG	Not Reported	injection	subcutaneous		Not Reported				58579fea-8f1d-5a25-b7fe-ac387f856134		5d4ddd16-7017-5cc7-b7b6-be28b4e4a429
pdx	640-8	FPRMS640	NSG	Not Reported	injection	subcutaneous		Not Reported				596be120-35c6-5eef-b7ce-a25352041eb0		7449e02a-3e3c-5365-a97b-396c9121a908
pdx	PSS140Q	NRSTS010	NSG	Not Reported	injection	subcutaneous		Not Reported				68758900-d9c0-5455-8597-2b3470828890		21983da3-f86c-500f-aad3-5aeb4ba03431
pdx	PSS159	EWS563	NSG	Not Reported	injection	subcutaneous		Not Reported				6ecc8d64-e9ac-5c58-a647-85b166992306		32286b48-71ec-52d9-a93e-11e1ea1a611d
pdx	OS774	OS774	NSG	Not Reported	injection	subcutaneous		Not Reported				7742eeb2-75ca-5a5d-af59-9a291816da3a		4f44f047-e448-5455-8793-bb03e5c235ea
pdx	OS833	OS833	NSG	Not Reported	injection	subcutaneous		Not Reported				94a39e5b-5703-5758-8eea-d733da9ad5e2		2cbd35ab-c395-591f-b9fc-747f9e3f033c
pdx	NRSTS600	NRSTS600	NSG	Not Reported	injection	subcutaneous		Not Reported				958d1829-7b6f-5059-abf5-c5e993d9cefd		498feccb-7773-5a72-a909-ff8ebe50b900
pdx	OS708	OS708	NSG	Not Reported	injection	subcutaneous		Not Reported				9b381c84-0f49-5702-93b4-86ec91e0ded9		70f5e112-2d0b-53dd-a2ab-6f40cc2ab264
pdx	OS742	OS742	NSG	Not Reported	injection	subcutaneous		Not Reported				ae3e5c7f-7478-5183-9b91-e0c19eac35a7		65853dd4-2e6d-5914-9e0f-0aac2461b1e6
pdx	PSS119	OS661	NSG	Not Reported	injection	subcutaneous		Not Reported				af847b3f-6a14-5c95-a74a-718dce138bfd		f5ab8acc-74f5-5572-9e52-25c3b0494a74
pdx	PSS142	EMRS456	NSG	Not Reported	injection	subcutaneous		Not Reported				b22ae7dd-6368-5e08-be26-7a9549cf817a		64b45cf4-13d2-5945-a37f-26859afcea26
pdx	PSS085_2	OS152	NSG	Not Reported	injection	subcutaneous		Not Reported				b836cdcb-1030-5ed5-85ca-b079f9a0b244		6154568a-6ae1-5259-a939-8923bdcfbbc0
pdx	EWS799	EWS799	NSG	Not Reported	injection	subcutaneous		Not Reported				c57645f4-cd23-5bc4-8606-0e632f32d9b5		e532218d-593f-5cc1-87ce-0b770cdcb7bd
pdx	PSS085_1	OS152	NSG	Not Reported	injection	subcutaneous		Not Reported				d7d4f51f-9278-543a-be71-dc27ca976188		8510a5a3-ad60-5ace-8e7d-c7d48219d06a
pdx	PSS050	OS525	NSG	Not Reported	injection	subcutaneous		Not Reported				de5f7061-eded-5ee9-b4fe-55f9cc9051dd		93459d4c-a394-5c16-be16-ad1b474d22cf
pdx	PSS141	OS457	NSG	Not Reported	injection	subcutaneous		Not Reported				ebbde658-7a2c-5935-82f7-e935d84fb500		09a74cfc-660c-53ab-9e14-26942e08371d
pdx	PSS131	OS384D	NSG	Not Reported	injection	subcutaneous		Not Reported				f07d1f2b-1a99-5eb5-90c1-4b1c6ccc3df0		5d7cca7f-ef1b-570a-9937-1164a0a29527
pdx	PSS077	OS106	NSG	Not Reported	injection	subcutaneous		Not Reported				f37b6324-0f2f-5602-af13-30b1b5e07bbe		19eab89c-eb3a-5c03-8894-1efa6011e870
pdx	PSS112	OS526	NSG	Not Reported	injection	subcutaneous		Not Reported				f386ad00-1c71-513c-ae0c-21d867f9527a		2602722b-5948-52ce-a2ad-48a3070ac5a7
pdx	624-8x0	EWS624	NSG	Not Reported	injection	subcutaneous		Not Reported				fc00798d-4c2f-5815-a499-3cef9445b797		f701e367-d0c3-5715-bc67-1555c65a25cc
pdx	PSS078	OS107	NSG	Not Reported	injection	subcutaneous		Not Reported				fdd62f4f-8bb4-5c89-9bd8-d775c3f32c44		3c4bbca1-52f7-5ef8-8e2a-c96aaeafaef4
