reference_genome_assembly	library_strategy	library_source	type	genomic_info_id	file.file_id	library_selection	platform	library_layout	instrument_model
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c57ed69a-4cb3-11ee-9b9d-ef5d7a638b88	dg.4DFC/c57ed69a-4cb3-11ee-9b9d-ef5d7a638b88	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c57fbec0-4cb3-11ee-889f-3f1614df2d7d	dg.4DFC/c57fbec0-4cb3-11ee-889f-3f1614df2d7d	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c57fe5da-4cb3-11ee-9d94-0b6a222d3867	dg.4DFC/c57fe5da-4cb3-11ee-9d94-0b6a222d3867	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c58008b2-4cb3-11ee-93f2-17d40b0f8231	dg.4DFC/c58008b2-4cb3-11ee-93f2-17d40b0f8231	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c5802bda-4cb3-11ee-ac0d-dfa4ead2efac	dg.4DFC/c5802bda-4cb3-11ee-ac0d-dfa4ead2efac	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c5805204-4cb3-11ee-a9b9-bbb4c4c47f05	dg.4DFC/c5805204-4cb3-11ee-a9b9-bbb4c4c47f05	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c5807504-4cb3-11ee-9894-1b0c259c9ec2	dg.4DFC/c5807504-4cb3-11ee-9894-1b0c259c9ec2	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c5809746-4cb3-11ee-9254-47767fdbf230	dg.4DFC/c5809746-4cb3-11ee-9254-47767fdbf230	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c580bcbc-4cb3-11ee-867b-6ba3b725d2aa	dg.4DFC/c580bcbc-4cb3-11ee-867b-6ba3b725d2aa	Not specified in data	Not specified in data	Not specified in data	Not specified in data
Not specified in data	ATAC-seq	Genomic Single Cell	genomic_info	dg.4DFC/c580e476-4cb3-11ee-a64d-e7880e260b06	dg.4DFC/c580e476-4cb3-11ee-a64d-e7880e260b06	Not specified in data	Not specified in data	Not specified in data	Not specified in data
