reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b139b0-d257-11ee-ba14-1b2abc96b805	dg.4DFC/59b139b0-d257-11ee-ba14-1b2abc96b805
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b22cf8-d257-11ee-b0ca-1790ee96e3af	dg.4DFC/59b22cf8-d257-11ee-b0ca-1790ee96e3af
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b25386-d257-11ee-b21d-afefaf2b1d2c	dg.4DFC/59b25386-d257-11ee-b21d-afefaf2b1d2c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b277f8-d257-11ee-b0be-c33269c726ff	dg.4DFC/59b277f8-d257-11ee-b0be-c33269c726ff
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b29d64-d257-11ee-b8f2-0b8cb915bc0f	dg.4DFC/59b29d64-d257-11ee-b8f2-0b8cb915bc0f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b2c1cc-d257-11ee-b116-67cb5f587d5b	dg.4DFC/59b2c1cc-d257-11ee-b116-67cb5f587d5b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b2e5b2-d257-11ee-a0c8-6f6cf93a348b	dg.4DFC/59b2e5b2-d257-11ee-a0c8-6f6cf93a348b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b30bd2-d257-11ee-9b36-6f9c82ba38d1	dg.4DFC/59b30bd2-d257-11ee-9b36-6f9c82ba38d1
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b330f8-d257-11ee-aa1c-67e29b6fc157	dg.4DFC/59b330f8-d257-11ee-aa1c-67e29b6fc157
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b354c0-d257-11ee-ba79-e751592ea1a7	dg.4DFC/59b354c0-d257-11ee-ba79-e751592ea1a7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b37874-d257-11ee-a700-9fefd029911b	dg.4DFC/59b37874-d257-11ee-a700-9fefd029911b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b39cb4-d257-11ee-952c-539231e57397	dg.4DFC/59b39cb4-d257-11ee-952c-539231e57397
