library_id	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
CPLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/62169cba-883a-4e39-afa4-432cffe07bdf_CPLX.WES	dg.4DFC/62169cba-883a-4e39-afa4-432cffe07bdf
CPLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/cb8d5910-a0be-4b50-9966-d5ffdeedc25f_CPLX.WES	dg.4DFC/cb8d5910-a0be-4b50-9966-d5ffdeedc25f
wm3960.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/bcdb11fa-6f5a-4d20-8e75-510edd3ea917_wm3960.WES	dg.4DFC/bcdb11fa-6f5a-4d20-8e75-510edd3ea917
wm3960.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2f8238d2-1dda-45f1-ad04-3237bbb871dd_wm3960.WES	dg.4DFC/2f8238d2-1dda-45f1-ad04-3237bbb871dd
wm3960n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/49979592-ae85-4e03-9bb8-7cdcec4a2176_wm3960n.WES	dg.4DFC/49979592-ae85-4e03-9bb8-7cdcec4a2176
wm3960n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/b8ff5251-faa1-410b-90df-b3a6984ec2fd_wm3960n.WES	dg.4DFC/b8ff5251-faa1-410b-90df-b3a6984ec2fd
wm3907MP1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/3060e10f-fb6b-4608-8499-e6a3fd3dc5d1_wm3907MP1.WES	dg.4DFC/3060e10f-fb6b-4608-8499-e6a3fd3dc5d1
wm3907MP1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/3c82c170-d6ae-4ac0-9fd7-277380696aa3_wm3907MP1.WES	dg.4DFC/3c82c170-d6ae-4ac0-9fd7-277380696aa3
wm3907MP5.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/adc73935-d70e-4416-b6ca-c95388bfc347_wm3907MP5.WES	dg.4DFC/adc73935-d70e-4416-b6ca-c95388bfc347
wm3907MP5.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/5a2e64ca-8a3e-4178-aeae-732e06710f1b_wm3907MP5.WES	dg.4DFC/5a2e64ca-8a3e-4178-aeae-732e06710f1b
wm3907n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/79c1e858-ecc7-4b79-8a11-a1139d7ed859_wm3907n.WES	dg.4DFC/79c1e858-ecc7-4b79-8a11-a1139d7ed859
wm3907n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/ca29cdf5-fbc4-470e-9578-d2676e823a68_wm3907n.WES	dg.4DFC/ca29cdf5-fbc4-470e-9578-d2676e823a68
wm3907PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/bd539555-42db-47c4-ae1e-b0e2b641efcc_wm3907PLX.WES	dg.4DFC/bd539555-42db-47c4-ae1e-b0e2b641efcc
wm3907PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/4882c0a7-f0ee-4d54-b90e-411a119d46be_wm3907PLX.WES	dg.4DFC/4882c0a7-f0ee-4d54-b90e-411a119d46be
wm3922n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/2b216c0a-5298-4c1c-9e29-f3afaf2df41c_wm3922n.WES	dg.4DFC/2b216c0a-5298-4c1c-9e29-f3afaf2df41c
wm3922n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/501853be-22f9-444c-8d4b-b433752d9582_wm3922n.WES	dg.4DFC/501853be-22f9-444c-8d4b-b433752d9582
wm3926n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/0a9261b5-86d6-4d78-968d-1da07b266eac_wm3926n.WES	dg.4DFC/0a9261b5-86d6-4d78-968d-1da07b266eac
wm3926n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/23eb0788-4b55-4def-a31a-2c1a6ded998b_wm3926n.WES	dg.4DFC/23eb0788-4b55-4def-a31a-2c1a6ded998b
wm3926PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/cefb1443-ac86-40c9-9a33-9628f198a220_wm3926PLX.WES	dg.4DFC/cefb1443-ac86-40c9-9a33-9628f198a220
wm3926PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/35876dee-2e60-4041-9228-d412b1ec613a_wm3926PLX.WES	dg.4DFC/35876dee-2e60-4041-9228-d412b1ec613a
wm3934.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/d44fdf39-0372-4dce-beaa-3b270b905dd9_wm3934.WES	dg.4DFC/d44fdf39-0372-4dce-beaa-3b270b905dd9
wm3934.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/377b62ee-f885-419a-9c85-eb92a52c0938_wm3934.WES	dg.4DFC/377b62ee-f885-419a-9c85-eb92a52c0938
wm3934n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/1056ede6-5528-414d-b054-721bf7358ff9_wm3934n.WES	dg.4DFC/1056ede6-5528-414d-b054-721bf7358ff9
wm3934n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/fc56bddd-61be-47f1-a66b-d3d9abdf6128_wm3934n.WES	dg.4DFC/fc56bddd-61be-47f1-a66b-d3d9abdf6128
wm3936.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/4ad3d6b4-3869-465c-92b4-c6f62b4b32f7_wm3936.WES	dg.4DFC/4ad3d6b4-3869-465c-92b4-c6f62b4b32f7
wm3936.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/c99470c6-eade-4aa9-b2c5-0a5c4a2bd1c9_wm3936.WES	dg.4DFC/c99470c6-eade-4aa9-b2c5-0a5c4a2bd1c9
wm3936-1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/0b8d5403-5367-4824-bb30-f52c8442940c_wm3936-1.WES	dg.4DFC/0b8d5403-5367-4824-bb30-f52c8442940c
wm3936-1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/495a18cc-e6af-4cac-ab18-eed4f9d940c7_wm3936-1.WES	dg.4DFC/495a18cc-e6af-4cac-ab18-eed4f9d940c7
wm3936-1PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/40e1be4c-5922-4f11-9c7d-89d7f2793b21_wm3936-1PLX.WES	dg.4DFC/40e1be4c-5922-4f11-9c7d-89d7f2793b21
wm3936-1PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/d128c700-316a-45a5-a6f6-62515f423c9b_wm3936-1PLX.WES	dg.4DFC/d128c700-316a-45a5-a6f6-62515f423c9b
wm3936-2MP1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/38499efa-4ed8-4c45-af95-cd652399818a_wm3936-2MP1.WES	dg.4DFC/38499efa-4ed8-4c45-af95-cd652399818a
wm3936-2MP1.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/15d69b4c-0ccf-49da-9723-3721c169f8cd_wm3936-2MP1.WES	dg.4DFC/15d69b4c-0ccf-49da-9723-3721c169f8cd
wm3936-2MP5.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/3429578a-f791-4977-97d5-ee1dc2daf317_wm3936-2MP5.WES	dg.4DFC/3429578a-f791-4977-97d5-ee1dc2daf317
wm3936-2MP5.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/a2af71bd-a7c7-4566-a3cc-2c1a5cbcacec_wm3936-2MP5.WES	dg.4DFC/a2af71bd-a7c7-4566-a3cc-2c1a5cbcacec
wm3936-2PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/39d121c8-967e-4817-a769-41b37a758d46_wm3936-2PLX.WES	dg.4DFC/39d121c8-967e-4817-a769-41b37a758d46
wm3936-2PLX.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/a1f27436-c7a7-45ca-922f-64dd0a194829_wm3936-2PLX.WES	dg.4DFC/a1f27436-c7a7-45ca-922f-64dd0a194829
wm3936n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/5cb13830-8c64-4653-a8a7-bf3e24356de7_wm3936n.WES	dg.4DFC/5cb13830-8c64-4653-a8a7-bf3e24356de7
wm3936n.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/204fd379-339b-40e0-a280-41bfc4a8dc46_wm3936n.WES	dg.4DFC/204fd379-339b-40e0-a280-41bfc4a8dc46
WM3939-2_6575.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/44fa5d91-63d0-4bc9-af8f-225ed8a3f40e_WM3939-2_6575.RNA-Seq	dg.4DFC/44fa5d91-63d0-4bc9-af8f-225ed8a3f40e
WM3939-2_6575.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/dcda4ea1-a74f-4ecb-a18d-2f537982c60c_WM3939-2_6575.RNA-Seq	dg.4DFC/dcda4ea1-a74f-4ecb-a18d-2f537982c60c
WM3939-2_7168.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/ebcc0a3c-384f-4109-b633-e5a22c54dce7_WM3939-2_7168.RNA-Seq	dg.4DFC/ebcc0a3c-384f-4109-b633-e5a22c54dce7
WM3939-2_7168.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/506e8c81-56eb-45e7-8f52-3129f4410a70_WM3939-2_7168.RNA-Seq	dg.4DFC/506e8c81-56eb-45e7-8f52-3129f4410a70
WM3939-2_7169.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/42df3471-14a2-4e3b-9bff-7cba6fa3c99e_WM3939-2_7169.RNA-Seq	dg.4DFC/42df3471-14a2-4e3b-9bff-7cba6fa3c99e
WM3939-2_7169.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/8753eff1-8654-4e04-9c93-c0b084cc6dce_WM3939-2_7169.RNA-Seq	dg.4DFC/8753eff1-8654-4e04-9c93-c0b084cc6dce
WM3939-2_CPLX__6676.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/25b1977f-ef42-4bb0-8011-6dfe7a1c5893_WM3939-2_CPLX__6676.RNA-Seq	dg.4DFC/25b1977f-ef42-4bb0-8011-6dfe7a1c5893
WM3939-2_CPLX__6676.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/efb22b9d-29b6-4ae8-968d-86863967e0b5_WM3939-2_CPLX__6676.RNA-Seq	dg.4DFC/efb22b9d-29b6-4ae8-968d-86863967e0b5
WM3939-2_CPLX__6678.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/cedda974-8772-4f13-b9a4-0a0b30032dff_WM3939-2_CPLX__6678.RNA-Seq	dg.4DFC/cedda974-8772-4f13-b9a4-0a0b30032dff
WM3939-2_CPLX__6678.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/5582b3c6-e0ba-4146-9172-728ae5a2eded_WM3939-2_CPLX__6678.RNA-Seq	dg.4DFC/5582b3c6-e0ba-4146-9172-728ae5a2eded
WM3939-2_CPLX__6679.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/44206639-88cb-4c40-88ef-475112ec7c6c_WM3939-2_CPLX__6679.RNA-Seq	dg.4DFC/44206639-88cb-4c40-88ef-475112ec7c6c
WM3939-2_CPLX__6679.RNA-Seq	GRCh37	Illumina TruSeq Stranded mRNA	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/76a97e7d-73da-41b0-b0b0-d42bf3d4336a_WM3939-2_CPLX__6679.RNA-Seq	dg.4DFC/76a97e7d-73da-41b0-b0b0-d42bf3d4336a
wm3939-2.WES	GRCh37	Nextera DNA Exome FC-144-1004	WXS	Paired-End	Genomic	PCR	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/54199740-4e15-4c8b-a226-5c74168cbded_wm3939-2.WES	dg.4DFC/54199740-4e15-4c8b-a226-5c74168cbded
