file_id	type	file_name
dg.4DFC/a5412f46-6481-11ee-acfe-dbe0f5dd47ba	file	C622257_1748_T1CE_to_SRI_defaced.nii.gz
dg.4DFC/a5417c44-6481-11ee-8ef6-4f526004566c	file	C622257_1748_T2_to_SRI_defaced.nii.gz
dg.4DFC/a541a02a-6481-11ee-aa2e-37e97a27a28a	file	C622257_1748_pred_brainMask.nii.gz
dg.4DFC/a54157dc-6481-11ee-83b4-db7643f74370	file	C622257_1748_T1_to_SRI_defaced.nii.gz
dg.4DFC/a5410a8e-6481-11ee-a39f-8bb4f98f0fee	file	C622257_1748_FL_to_SRI_defaced.nii.gz
dg.4DFC/a5405242-6481-11ee-8811-5fda3c088196	file	C677115_3629_FL_to_SRI_defaced.nii.gz
dg.4DFC/a540c074-6481-11ee-ad11-bb6f3aedca33	file	C677115_3629_T2_to_SRI_defaced.nii.gz
dg.4DFC/a540e5c2-6481-11ee-86a0-3b3f9804629e	file	C677115_3629_pred_brainMask.nii.gz
dg.4DFC/a5407718-6481-11ee-a869-7f479522dafa	file	C677115_3629_T1CE_to_SRI_defaced.nii.gz
dg.4DFC/a5409ba8-6481-11ee-b225-bb6f6fc8a336	file	C677115_3629_T1_to_SRI_defaced.nii.gz
