file_id	type
dg.4DFC/9316e064-577e-4612-a4c5-1bcb4093ef65	file
dg.4DFC/76ad4222-761e-40a6-b38d-e96810b0897f	file
dg.4DFC/db3cc532-a214-4a14-a8f4-3457c34ebd65	file
dg.4DFC/4f5f187d-38c7-4b61-97f3-a2d301eeb087	file
dg.4DFC/15f9aafa-dfa8-4745-a21e-7854b71529c6	file
dg.4DFC/0af9686d-1045-4f48-9442-87643dfd64c9	file
dg.4DFC/7ac474d2-65d3-404d-a292-c80a79f42c95	file
dg.4DFC/3ada7ad0-a4e7-4118-9f3a-a6129dd3ea33	file
dg.4DFC/0ce5b9ca-f87b-4342-b381-31aa7222bdfb	file
dg.4DFC/1e9200f3-1a69-429d-9fc8-a2f91fc229cb	file
