type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/001a3f13-8118-53c6-8dce-c5d6d1a1cd05	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/001a3f13-8118-53c6-8dce-c5d6d1a1cd05	RTDOSE	C190594	PyMedPhys Pinnacle Export		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0040d11c-d0ee-5c9d-8b28-318e3cea71d9	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/0040d11c-d0ee-5c9d-8b28-318e3cea71d9	RTPLAN	C190595	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/009126ce-8864-5a98-9147-0db8b3dd1472	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/009126ce-8864-5a98-9147-0db8b3dd1472	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00997539-6154-50ce-9426-7080358f2802	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/00997539-6154-50ce-9426-7080358f2802	RTSTRUCT	C190605	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/010600b9-6420-5abe-9d18-e30e2f1bac59	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/010600b9-6420-5abe-9d18-e30e2f1bac59	RTDOSE	C190594	PyMedPhys Pinnacle Export		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01893362-ed17-53fd-95b5-6abe6a1e31d9	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/01893362-ed17-53fd-95b5-6abe6a1e31d9	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01a540a0-d7b3-57ad-8ae7-24372ec27f21	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/01a540a0-d7b3-57ad-8ae7-24372ec27f21	RTSTRUCT	C190605	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02d24462-2013-5704-bbe9-15c612be0a16	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/02d24462-2013-5704-bbe9-15c612be0a16	RTSTRUCT	C190605	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0321881b-e563-54c1-b5dc-ce3a41826610	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/0321881b-e563-54c1-b5dc-ce3a41826610	RTPLAN	C190595	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/034da1be-f1c6-51a1-823e-6a1c00e3849d	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/034da1be-f1c6-51a1-823e-6a1c00e3849d	RTDOSE	C190594	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0351f958-8b7c-5e0a-87e4-c89bbf613eb1	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/0351f958-8b7c-5e0a-87e4-c89bbf613eb1	RTPLAN	C190595	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0367e2b3-3fdd-5592-bdf7-808ce1cf7846	https://doi.org/10.7937/ahqh-xc79	Semiautomatic	C172484	dg.4DFC/0367e2b3-3fdd-5592-bdf7-808ce1cf7846	RTDOSE	C190594	Philips		Head, face or neck, NOS		Homo sapiens
