type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/0112d8e0-743e-5aa5-81ba-95ded9cb5838	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0112d8e0-743e-5aa5-81ba-95ded9cb5838	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01983fab-b3b3-5fa4-834d-2ae7781c7408	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/01983fab-b3b3-5fa4-834d-2ae7781c7408	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/027ba047-a1e2-5b07-b8e8-342facf8bbc3	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/027ba047-a1e2-5b07-b8e8-342facf8bbc3	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0399d255-2eb4-5f4a-ba96-93572053233c	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0399d255-2eb4-5f4a-ba96-93572053233c	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/050c2131-3048-5b1e-9459-d9aed619eb10	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/050c2131-3048-5b1e-9459-d9aed619eb10	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0564c1e3-5bbb-5be3-b33b-d3fb5789b421	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0564c1e3-5bbb-5be3-b33b-d3fb5789b421	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/05f0f3c2-e768-5663-9401-891f55103979	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/05f0f3c2-e768-5663-9401-891f55103979	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06385455-255c-5b25-987f-ad1ebca3d8b0	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/06385455-255c-5b25-987f-ad1ebca3d8b0	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06cf1462-1408-599c-81d5-6cfb3626aeb8	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/06cf1462-1408-599c-81d5-6cfb3626aeb8	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0726b717-1204-5dcd-9f25-b0c182885566	http://doi.org/10.7937/K9/TCIA.2016.5DI84Js8	Semiautomatic	C172484	dg.4DFC/0726b717-1204-5dcd-9f25-b0c182885566	MR	C16809	Imaging Biometrics LLC		Head, face or neck, NOS		Homo sapiens
