type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/00029507-4463-5260-8b70-d903c68d5523	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00029507-4463-5260-8b70-d903c68d5523	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0010617d-8840-5325-bed2-45601ae26aa1	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/0010617d-8840-5325-bed2-45601ae26aa1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00147cd8-a04b-52b2-8411-d8ed96ecb703	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00147cd8-a04b-52b2-8411-d8ed96ecb703	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/001eb002-06ad-5f96-b44d-5bf5b14c06b0	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/001eb002-06ad-5f96-b44d-5bf5b14c06b0	MR	C16809	General Electric		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00bb0cfd-400c-51c9-9df6-72e50b6fb020	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00bb0cfd-400c-51c9-9df6-72e50b6fb020	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00ca583d-2756-55fb-8485-beffeddc6e7a	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00ca583d-2756-55fb-8485-beffeddc6e7a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00ce7188-86a8-5cac-88d8-7533517ee99a	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00ce7188-86a8-5cac-88d8-7533517ee99a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00ecf88e-acba-568b-b197-b52c2c360432	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/00ecf88e-acba-568b-b197-b52c2c360432	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01313d39-aaf2-5127-b4ae-06bc2190ed61	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01313d39-aaf2-5127-b4ae-06bc2190ed61	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/013da7fe-39a2-569d-85af-3301a7a8e266	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/013da7fe-39a2-569d-85af-3301a7a8e266	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016122a8-5812-5b96-b748-3ff0610633cf	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/016122a8-5812-5b96-b748-3ff0610633cf	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0169402f-42f9-50fa-85a3-48c9db255d0a	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/0169402f-42f9-50fa-85a3-48c9db255d0a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016a7df2-7bf1-5a92-af94-5a6b3b3df2b4	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/016a7df2-7bf1-5a92-af94-5a6b3b3df2b4	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016c3da2-88e0-554a-8cde-1aca6bd768a6	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/016c3da2-88e0-554a-8cde-1aca6bd768a6	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016f5e55-302c-5d52-83c8-278036582bd1	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/016f5e55-302c-5d52-83c8-278036582bd1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01793143-a447-5066-bbc0-2475d7d9eaf9	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01793143-a447-5066-bbc0-2475d7d9eaf9	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0187ed3b-6b38-50f4-bece-6877e3935d98	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/0187ed3b-6b38-50f4-bece-6877e3935d98	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/018f066c-82cb-5db1-8b2f-24074393cbf7	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/018f066c-82cb-5db1-8b2f-24074393cbf7	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/018fe095-117e-505e-b3aa-447b678ff6ef	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/018fe095-117e-505e-b3aa-447b678ff6ef	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01acc2f9-0fa2-53e2-a0a6-91eec29d41f8	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01acc2f9-0fa2-53e2-a0a6-91eec29d41f8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01db0c0e-2698-5b46-96fa-851d1d878dfc	https://doi.org/10.7937/K9/TCIA.2016.L4LTD3TK	Semiautomatic	C172484	dg.4DFC/01db0c0e-2698-5b46-96fa-851d1d878dfc	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
