type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/0057cc73-edcb-542f-9bcc-db01ab434436	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/0057cc73-edcb-542f-9bcc-db01ab434436	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01820dd5-24fd-5a77-84a6-6ee8934c180f	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/01820dd5-24fd-5a77-84a6-6ee8934c180f	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0288d7ed-cc74-5269-96c0-77b97753c30c	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/0288d7ed-cc74-5269-96c0-77b97753c30c	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/04b96936-b83f-52c8-bfb0-db14517a8504	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/04b96936-b83f-52c8-bfb0-db14517a8504	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06aa8d37-7ba3-5f0f-95c3-9b34cfe92210	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/06aa8d37-7ba3-5f0f-95c3-9b34cfe92210	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0a9f0b42-118d-5296-8e03-d154cae59e66	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/0a9f0b42-118d-5296-8e03-d154cae59e66	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0b7aacae-b0a6-5498-9b4c-a2ddc93196fe	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/0b7aacae-b0a6-5498-9b4c-a2ddc93196fe	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0e311d0d-304f-55e1-b1c9-f0f7991b3adf	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/0e311d0d-304f-55e1-b1c9-f0f7991b3adf	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/12ae0286-266e-5dff-8bcc-a225a5c58d18	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/12ae0286-266e-5dff-8bcc-a225a5c58d18	RTSTRUCT	C190605	RaySearch Laboratories		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/17137e94-79ec-5f9c-b010-1ee870785492	https://doi.org/10.7937/tcia.2019.bcfjqfqb	Semiautomatic	C172484	dg.4DFC/17137e94-79ec-5f9c-b010-1ee870785492	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
