type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/00515da6-1b0b-54c6-b7b0-64b437e0b3ab	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/00515da6-1b0b-54c6-b7b0-64b437e0b3ab	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006590f2-9e60-535a-8b1a-d7822040caea	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/006590f2-9e60-535a-8b1a-d7822040caea	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006de307-670a-5143-9030-bc4c6012b63f	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/006de307-670a-5143-9030-bc4c6012b63f	MR	C16809	Skyra		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0080d56a-fa56-5dca-a568-a1e6c0beeb43	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0080d56a-fa56-5dca-a568-a1e6c0beeb43	MR	C16809	BrainMagix		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00b3f4ea-3151-569b-8c4c-e0d74a1c65f8	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/00b3f4ea-3151-569b-8c4c-e0d74a1c65f8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00d39990-d03b-5a3c-acad-10b571139400	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/00d39990-d03b-5a3c-acad-10b571139400	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00d6236b-2a9c-5968-8018-b41115de1a27	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/00d6236b-2a9c-5968-8018-b41115de1a27	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00dd2c72-23df-58c4-9884-1361163e5c9d	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/00dd2c72-23df-58c4-9884-1361163e5c9d	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0108bd4b-2096-548e-9e37-ce9accf94ec3	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0108bd4b-2096-548e-9e37-ce9accf94ec3	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/010a8dc8-4cb9-5242-98b9-7e98e6c25317	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/010a8dc8-4cb9-5242-98b9-7e98e6c25317	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01317174-dc4b-50ab-8c04-815cdf77090a	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01317174-dc4b-50ab-8c04-815cdf77090a	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0153f86e-5821-5b6a-bccc-ba040ae52048	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0153f86e-5821-5b6a-bccc-ba040ae52048	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/016c2d86-0e62-5626-a029-63b9d80715f0	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/016c2d86-0e62-5626-a029-63b9d80715f0	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01aa3cff-7a85-5362-8d02-0a035c824678	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01aa3cff-7a85-5362-8d02-0a035c824678	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01ab7512-4a49-55c9-adc9-13160417eeb1	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01ab7512-4a49-55c9-adc9-13160417eeb1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01baf9b4-c5bd-563b-ad22-73d1ed7239ef	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01baf9b4-c5bd-563b-ad22-73d1ed7239ef	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01bdbeca-a959-5c8c-ae18-9eebb03ca162	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01bdbeca-a959-5c8c-ae18-9eebb03ca162	MR	C16809	Avanto		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01c3eee3-3ce4-59d3-b501-17c1b282fcfc	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01c3eee3-3ce4-59d3-b501-17c1b282fcfc	MR	C16809	SIGNA EXCITE		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01cc0c21-824a-5b06-84c6-c38b19962527	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/01cc0c21-824a-5b06-84c6-c38b19962527	MR	C16809	Philips Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02273034-f1d7-534e-92af-a8aa2fd1aff1	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02273034-f1d7-534e-92af-a8aa2fd1aff1	MR	C16809	Skyra		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/025df73b-ce52-5375-9e63-23532638ddc4	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/025df73b-ce52-5375-9e63-23532638ddc4	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/026e5ed6-16a3-5f79-a21e-40b3d097b3a1	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/026e5ed6-16a3-5f79-a21e-40b3d097b3a1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0276baef-4407-5cff-91ce-115f4de174ef	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/0276baef-4407-5cff-91ce-115f4de174ef	MR	C16809	SIGNA EXCITE		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02894939-1952-50d2-b80c-6f98907aae95	https://doi.org/10.7937/K9/TCIA.2018.3RJE41Q1	Semiautomatic	C172484	dg.4DFC/02894939-1952-50d2-b80c-6f98907aae95	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
