type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/0095037f-a059-5484-8ea5-3ba5a6e00e51	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0095037f-a059-5484-8ea5-3ba5a6e00e51	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01112e7b-6f3d-5d99-92c3-0254f4cc36cd	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/01112e7b-6f3d-5d99-92c3-0254f4cc36cd	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/011847cc-de4e-5d99-ae61-64c87e5a69a4	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/011847cc-de4e-5d99-ae61-64c87e5a69a4	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01372403-1e78-523e-a885-7594eb976c5c	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/01372403-1e78-523e-a885-7594eb976c5c	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02eca0ba-d65d-5954-82db-436cf1e89137	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/02eca0ba-d65d-5954-82db-436cf1e89137	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0337929d-6873-56c3-95f6-4721aa9e234b	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0337929d-6873-56c3-95f6-4721aa9e234b	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03854d4a-3f68-59cc-805a-55b85ffd1976	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/03854d4a-3f68-59cc-805a-55b85ffd1976	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0420640b-cbc9-59cf-96a5-7336807d6ee0	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0420640b-cbc9-59cf-96a5-7336807d6ee0	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/05f7476b-23d4-588f-8f65-aefaf4bb01a5	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/05f7476b-23d4-588f-8f65-aefaf4bb01a5	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/06e9383f-797f-54b6-a7c5-489b97dfc6b0	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/06e9383f-797f-54b6-a7c5-489b97dfc6b0	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/08f48589-24fe-5cfe-82f6-da14af16180a	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/08f48589-24fe-5cfe-82f6-da14af16180a	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/08f5a119-ee13-5244-bed5-7a19741a5993	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/08f5a119-ee13-5244-bed5-7a19741a5993	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/091130b4-08a4-54b9-b0eb-3f3cbcfa0510	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/091130b4-08a4-54b9-b0eb-3f3cbcfa0510	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/097e27f0-29a8-526c-b250-25236ccca9c1	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/097e27f0-29a8-526c-b250-25236ccca9c1	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/098bff71-8054-5986-87e2-a5ad6c1cbc68	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/098bff71-8054-5986-87e2-a5ad6c1cbc68	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/09a68dac-8ed3-5401-b2ba-25eda4ed7a05	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/09a68dac-8ed3-5401-b2ba-25eda4ed7a05	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0aa586dd-8806-537e-bc12-5e3bd66d39ae	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0aa586dd-8806-537e-bc12-5e3bd66d39ae	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0b4c48e9-387f-5bbf-af00-102dd51b85a3	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0b4c48e9-387f-5bbf-af00-102dd51b85a3	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0be41af4-4e70-593f-a781-fac5360ef35f	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0be41af4-4e70-593f-a781-fac5360ef35f	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0be96684-aa68-5a6e-9d62-3d3b1a86bf41	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0be96684-aa68-5a6e-9d62-3d3b1a86bf41	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0bfa918d-4a59-5b5b-88ff-c861d807cdb0	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0bfa918d-4a59-5b5b-88ff-c861d807cdb0	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0c42900f-1664-5e38-9081-ef2f6052e7b5	https://doi.org/10.7937/K9/TCIA.2015.VOSN3HN1	Semiautomatic	C172484	dg.4DFC/0c42900f-1664-5e38-9081-ef2f6052e7b5	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
