type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/000bce8b-2ed5-559e-9a98-b30e1b1b8b1b	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/000bce8b-2ed5-559e-9a98-b30e1b1b8b1b	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/000cc1eb-9b47-58c7-ba03-f9e00be3b09e	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/000cc1eb-9b47-58c7-ba03-f9e00be3b09e	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/001bd779-3d19-5e8e-8461-7c67279163d4	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/001bd779-3d19-5e8e-8461-7c67279163d4	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0035a9f6-a2f0-5680-b87e-84588b18ac8a	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/0035a9f6-a2f0-5680-b87e-84588b18ac8a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/004a6350-7720-5021-a367-69057be824a8	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/004a6350-7720-5021-a367-69057be824a8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/004cf188-64ab-523e-8509-6811e953ff82	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/004cf188-64ab-523e-8509-6811e953ff82	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0054c685-6512-5595-9dd1-3225e1954dc1	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/0054c685-6512-5595-9dd1-3225e1954dc1	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006cf0c8-d266-5243-86c3-6436c4bab85e	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/006cf0c8-d266-5243-86c3-6436c4bab85e	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0090ade5-f826-508d-9987-4ae555313bf5	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/0090ade5-f826-508d-9987-4ae555313bf5	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00b216e7-b434-5fff-8961-f68c3c2adf1a	https://doi.org/10.7937/K9/TCIA.2016.XLwaN6nL	Semiautomatic	C172484	dg.4DFC/00b216e7-b434-5fff-8961-f68c3c2adf1a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
