type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/00311d42-1db7-55d1-b502-08948ff884e6	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/00311d42-1db7-55d1-b502-08948ff884e6	RTPLAN	C190595	Varian Medical Systems		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0039fc31-7d8c-5bea-85b4-709e7d1bd079	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/0039fc31-7d8c-5bea-85b4-709e7d1bd079	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/004ba8a6-722a-5388-9bc4-82978f41094a	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/004ba8a6-722a-5388-9bc4-82978f41094a	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00537c8c-28f2-52f8-872f-5d319bd6f77f	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/00537c8c-28f2-52f8-872f-5d319bd6f77f	RTSTRUCT	C190605	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0053cc4a-e7a9-57aa-8d82-4e5b95348587	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/0053cc4a-e7a9-57aa-8d82-4e5b95348587	PT	C17007	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0063ba76-9982-526f-9357-ae8d52b05553	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/0063ba76-9982-526f-9357-ae8d52b05553	RTSTRUCT	C190605	MIM Software Inc.		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006c4e21-ab74-5b05-8cbb-40bf1eeca370	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/006c4e21-ab74-5b05-8cbb-40bf1eeca370	RTSTRUCT	C190605	ADAC		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00979edc-43ee-57fc-8641-6e17c2561d82	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/00979edc-43ee-57fc-8641-6e17c2561d82	CT	C17204	Philips		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00ac7afc-8359-5706-a197-9d31d50a4260	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/00ac7afc-8359-5706-a197-9d31d50a4260	RTSTRUCT	C190605	MIM Software Inc.		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00d415f9-e264-5fd4-8ad1-77a74db0b887	https://doi.org/10.7937/K9/TCIA.2017.8oje5q00	Semiautomatic	C172484	dg.4DFC/00d415f9-e264-5fd4-8ad1-77a74db0b887	RTSTRUCT	C190605	Varian Medical Systems		Head, face or neck, NOS		Homo sapiens
