type	study_link_id	citation_or_DOI	de_identification_method_type	de_identification_method_type_concept_code	file.file_id	image_modality	image_modality_concept_code	imaging_equipment_manufacturer	license	organ_or_tissue	organ_or_tissue_concept_code	species
image	dg.4DFC/002aaa76-ac21-5166-8e95-0d7b538d5886	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/002aaa76-ac21-5166-8e95-0d7b538d5886	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0058952b-e386-5caf-8758-ab35175e7ad6	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/0058952b-e386-5caf-8758-ab35175e7ad6	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/005a7f0e-b191-5d27-b276-ea0ec521c62a	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/005a7f0e-b191-5d27-b276-ea0ec521c62a	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00643cb8-1027-5220-96e7-1a3b43d3941b	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/00643cb8-1027-5220-96e7-1a3b43d3941b	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/006ec25d-a7c8-5c81-b984-9cfdfcd8fc0e	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/006ec25d-a7c8-5c81-b984-9cfdfcd8fc0e	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/00e194a0-d8c3-5344-b79e-3b3730304344	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/00e194a0-d8c3-5344-b79e-3b3730304344	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01787c88-90d7-5753-a049-540a195f8700	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/01787c88-90d7-5753-a049-540a195f8700	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01a5dde1-df7c-55d1-9f2d-0f3aae8feed5	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/01a5dde1-df7c-55d1-9f2d-0f3aae8feed5	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01d9f8fc-058b-51b5-a1f6-e0c4829538c4	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/01d9f8fc-058b-51b5-a1f6-e0c4829538c4	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/01ff068b-6261-549a-ad96-47c9905a02b8	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/01ff068b-6261-549a-ad96-47c9905a02b8	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0213f151-5995-5828-a642-bba02c1a47e8	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/0213f151-5995-5828-a642-bba02c1a47e8	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0219a3af-2cf3-5339-8f3f-f9a6f6b19ff8	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/0219a3af-2cf3-5339-8f3f-f9a6f6b19ff8	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02244f2d-d686-5872-a371-fbc530815631	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/02244f2d-d686-5872-a371-fbc530815631	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/0238ae20-92c8-5eb4-a3a3-03ce12d3ecad	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/0238ae20-92c8-5eb4-a3a3-03ce12d3ecad	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02751ff0-c5e8-570d-ba91-b44f295d3aa7	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/02751ff0-c5e8-570d-ba91-b44f295d3aa7	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/028dce9d-f625-5ec7-9d24-faeea203bddb	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/028dce9d-f625-5ec7-9d24-faeea203bddb	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02993ed5-d1c4-5f8e-97d1-b7379278d34b	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/02993ed5-d1c4-5f8e-97d1-b7379278d34b	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/02f4bf81-db15-587d-9934-c535707153d6	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/02f4bf81-db15-587d-9934-c535707153d6	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/030ba600-39b6-56ed-9d67-810e6329a2e8	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/030ba600-39b6-56ed-9d67-810e6329a2e8	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03555464-5de8-5d17-bbc2-16739c9522fb	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/03555464-5de8-5d17-bbc2-16739c9522fb	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03677c06-9eee-5813-ba96-a9ecf350a859	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/03677c06-9eee-5813-ba96-a9ecf350a859	CT	C17204	SIEMENS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/036c4da2-80c1-51ee-9568-b63de3872765	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/036c4da2-80c1-51ee-9568-b63de3872765	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03b3cd5c-042a-5529-af59-d490fc222ad8	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/03b3cd5c-042a-5529-af59-d490fc222ad8	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03e4571a-ffbe-53a0-bc51-786485b70bfe	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/03e4571a-ffbe-53a0-bc51-786485b70bfe	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/03f8f3bb-bd5e-5509-838d-4d9d4818d5a4	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/03f8f3bb-bd5e-5509-838d-4d9d4818d5a4	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/04147891-1cad-5ff6-bb00-0d48feb533f6	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/04147891-1cad-5ff6-bb00-0d48feb533f6	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/045dfa14-4c59-50e3-81be-46b86e1b4a68	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/045dfa14-4c59-50e3-81be-46b86e1b4a68	MR	C16809	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/04841491-4b8f-5516-8863-0227824fbbe7	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/04841491-4b8f-5516-8863-0227824fbbe7	CT	C17204	GE MEDICAL SYSTEMS		Head, face or neck, NOS		Homo sapiens
image	dg.4DFC/04ad59b1-2ead-5b32-b9ca-46a918d470b6	https://doi.org/10.7937/tcia.2019.1ae0qtcu	Semiautomatic	C172484	dg.4DFC/04ad59b1-2ead-5b32-b9ca-46a918d470b6	MR	C16809	SIEMENS		Head, face or neck, NOS		Homo sapiens
