type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	sample.sample_id	file_type	file_description
file	136_0105_tumor_S143_R1_001.fastq.gz	9960150d-6604-5bc3-8066-8e9118d71599	1105294912	9f35852508ea8db75d061dd7cee3cef7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/136_0105_tumor_S143_R1_001.fastq.gz	gz	['Open']	COTC021-0105-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	136_0105_tumor_S143_R2_001.fastq.gz	66031b8e-11c0-5d4e-9022-6c3a16b5c07c	1160328720	41719c0210488aa5bb80691e4d70145e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/136_0105_tumor_S143_R2_001.fastq.gz	gz	['Open']	COTC021-0105-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	1_0201_tumor_S2_R1_001.fastq.gz	2005d212-fb5d-52a9-92b7-a4dbb43690ad	869212282	f820fad88f42b0de82e4b83730a3313b	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/1_0201_tumor_S2_R1_001.fastq.gz	gz	['Open']	COTC021-0201-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	1_0201_tumor_S2_R2_001.fastq.gz	52e75f41-4a04-5b0b-a24e-b2bf572c7bc9	915358256	9c69624396026b00b778c54f773d0cea	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/1_0201_tumor_S2_R2_001.fastq.gz	gz	['Open']	COTC021-0201-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	2_0203_Tumor_S4_R1_001.fastq.gz	7f5e1c8b-41b3-5e8d-8acc-dd3442d9e14f	729185963	9988fe3f2a9da3d190047fbb4e45a636	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/2_0203_Tumor_S4_R1_001.fastq.gz	gz	['Open']	COTC021-0203-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	2_0203_Tumor_S4_R2_001.fastq.gz	0007e2c4-6c0f-5e9b-b94f-b983acf68d4b	770211593	d5bb8c85670d43cf441a06c198a7f839	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/2_0203_Tumor_S4_R2_001.fastq.gz	gz	['Open']	COTC021-0203-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	3_0207_Tumor_S6_R1_001.fastq.gz	fc7a28af-38b4-5e6f-ba83-56785022f8bb	686093144	bb47d4a1c1778439ba4091647dc5556c	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/3_0207_Tumor_S6_R1_001.fastq.gz	gz	['Open']	COTC021-0207-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	3_0207_Tumor_S6_R2_001.fastq.gz	67e81f64-ff7a-5ca9-b6ad-53f3e6415a0e	708001793	5188aaa9390b881b4565ca00b36f9d0f	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/3_0207_Tumor_S6_R2_001.fastq.gz	gz	['Open']	COTC021-0207-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	2_0209_Tumor_S2_R1_001.fastq.gz	fbfe21bb-b8b2-5f71-8b55-b27256526f73	2157168261	2c2f155301bbe6f021f042aafb084714	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/2_0209_Tumor_S2_R1_001.fastq.gz	gz	['Open']	COTC021-0209-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	2_0209_Tumor_S2_R2_001.fastq.gz	fa96d0c5-1343-5526-bcee-5b62a7fa0505	2300440039	2e2617eb8dc2a1e410ce2612bfbb8f1b	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/2_0209_Tumor_S2_R2_001.fastq.gz	gz	['Open']	COTC021-0209-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	16_0211_tumor_S13_R1_001.fastq.gz	bd8b7ac6-9ef4-5052-aa42-f364d9d349b2	1046596950	1ec40b8b8f2c1c00583e5edf24e45c21	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/16_0211_tumor_S13_R1_001.fastq.gz	gz	['Open']	COTC021-0211-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	16_0211_tumor_S13_R2_001.fastq.gz	9a9774d2-37ad-5ebc-8431-5b6afcfd018a	1116055584	435c5187aa61abcc20fab46984fed042	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/16_0211_tumor_S13_R2_001.fastq.gz	gz	['Open']	COTC021-0211-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	4_0215_Tumor_S1_R1_001.fastq.gz	97090667-1c50-5a8f-9424-1dd2fe940da8	1129599265	5027ea29d0ff13594ad61ed9761aa576	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/4_0215_Tumor_S1_R1_001.fastq.gz	gz	['Open']	COTC021-0215-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	4_0215_Tumor_S1_R2_001.fastq.gz	21d07844-d569-5624-8e16-7cad6b9da0ef	1206418439	69b8218dc1c058a49a009d49c9feead1	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/4_0215_Tumor_S1_R2_001.fastq.gz	gz	['Open']	COTC021-0215-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	17_0226_tumor_S20_R1_001.fastq.gz	07b631a8-cc14-521a-9183-4f12cc2a2973	857322836	bc0244dee47e14b8b9cbdd67bab7eefd	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/17_0226_tumor_S20_R1_001.fastq.gz	gz	['Open']	COTC021-0226-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	17_0226_tumor_S20_R2_001.fastq.gz	16339c36-dbff-5fd0-979d-9deae650b1d2	898680569	85cea673b160e54226528343f7c22387	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/17_0226_tumor_S20_R2_001.fastq.gz	gz	['Open']	COTC021-0226-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	18_0301_tumor_S22_R1_001.fastq.gz	e66e8e8e-44fe-5701-8a35-6ae8fface27d	898478113	44647779b3b5ff5650436ee8afec02b4	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/18_0301_tumor_S22_R1_001.fastq.gz	gz	['Open']	COTC021-0301-T	RNA Sequence File	RNA-Seq: Primary Tumor
file	18_0301_tumor_S22_R2_001.fastq.gz	d85d63ab-9f87-5180-9f4d-042aa855cd8a	955620028	451e2e128c1256bda3f1ddcb698070ab	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/COTC021/18_0301_tumor_S22_R2_001.fastq.gz	gz	['Open']	COTC021-0301-T	RNA Sequence File	RNA-Seq: Primary Tumor
