type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	00715c2e-8dfe-5e68-b647-04d30c09a816	dg.4DFC/00715c2e-8dfe-5e68-b647-04d30c09a816	Low Pass WGS: Primary Tumor	bai	COTC026_0247_T.bam.bai	2190192	Whole Genome Sequence File	db0f84caedb72a1e1f4cc529457d12fb	COTC026-0247-T
file	0191835e-5036-5b4d-85f6-5294b6ffe7d7	dg.4DFC/0191835e-5036-5b4d-85f6-5294b6ffe7d7	Low Pass WGS: Primary Tumor	bam	COTC026_0927_T.bam	7334120774	Whole Genome Sequence File	d2d24385f21b256971033384b7c08b1d	COTC026-0927-T
file	0307f129-3246-5b88-9e42-38540a26a659	dg.4DFC/0307f129-3246-5b88-9e42-38540a26a659	Low Pass WGS: Primary Tumor	bai	COTC026_0925_T.bam.bai	2438344	Whole Genome Sequence File	bd52cf63efde03232f57cca819509a2b	COTC026-0925-T
file	0519853f-dccd-5364-b8ba-b3063df8feb6	dg.4DFC/0519853f-dccd-5364-b8ba-b3063df8feb6	Low Pass WGS: Primary Tumor	bam	COTC026_0926_T.bam	7750794022	Whole Genome Sequence File	b7366b5c6f771f64adedbc85a019ecc7	COTC026-0926-T
file	063ebf44-aada-5b03-b878-237bbfbaa19e	dg.4DFC/063ebf44-aada-5b03-b878-237bbfbaa19e	Low Pass WGS: Primary Tumor	bai	COTC026_0422_T.bam.bai	2534024	Whole Genome Sequence File	bf87e5a40a55e4026a3e5bd5a6533b5b	COTC026-0422-T
file	078ad5ac-2302-55ea-b00f-31670473a1d9	dg.4DFC/078ad5ac-2302-55ea-b00f-31670473a1d9	Low Pass WGS: Primary Tumor	bam	COTC026_0231_T.bam	8401015175	Whole Genome Sequence File	a3a54f2ebcf81dcbd144f252e5ef52c7	COTC026-0231-T
file	0842b761-d820-5579-a01d-b64b03992b94	dg.4DFC/0842b761-d820-5579-a01d-b64b03992b94	Low Pass WGS: Primary Tumor	bam	COTC026_0430_T.bam	6882039969	Whole Genome Sequence File	33fdb38789462f9c331c6b286950572a	COTC026-0430-T
file	08fa0a4e-98b3-5359-ae42-ecce9bcc54de	dg.4DFC/08fa0a4e-98b3-5359-ae42-ecce9bcc54de	Low Pass WGS: Primary Tumor	bai	COTC026_0932_T.bam.bai	2411280	Whole Genome Sequence File	55491ffe97d66530bf9aad6316b338fb	COTC026-0932-T
file	0d24d236-a526-5b32-8966-a2ba2ca5cb50	dg.4DFC/0d24d236-a526-5b32-8966-a2ba2ca5cb50	Low Pass WGS: Primary Tumor	bam	COTC026_0932_T.bam	6970039929	Whole Genome Sequence File	a72e619cad203a2d5c5a623896b498c2	COTC026-0932-T
file	0ea32a73-335a-5216-b701-2923fc865217	dg.4DFC/0ea32a73-335a-5216-b701-2923fc865217	Low Pass WGS: Primary Tumor	bam	COTC026_0347_T.bam	7882527023	Whole Genome Sequence File	21b90d435653b8a5c6544470abf5ae54	COTC026-0347-T
file	10a8b40e-1e14-5173-8472-9af1e406495f	dg.4DFC/10a8b40e-1e14-5173-8472-9af1e406495f	Low Pass WGS: Primary Tumor	bam	COTC026_1034_T.bam	6708330655	Whole Genome Sequence File	ed0a2921eb2fa88f9af6c2c2f0b4bfce	COTC026-1034-T
file	130c62ca-0819-5cc2-8510-701f627c5ae0	dg.4DFC/130c62ca-0819-5cc2-8510-701f627c5ae0	Low Pass WGS: Primary Tumor	bam	COTC026_0416_T.bam	8265943652	Whole Genome Sequence File	f015f46f8ebbada126487ec35c82749a	COTC026-0416-T
file	14e27f20-2237-5652-a850-846522bd09f3	dg.4DFC/14e27f20-2237-5652-a850-846522bd09f3	Low Pass WGS: Primary Tumor	bai	COTC026_0655_T.bam.bai	2286136	Whole Genome Sequence File	a573dbc6e26c68925c81cc54ccf61f41	COTC026-0655-T
file	159a516c-7581-5827-98d9-bce2143906db	dg.4DFC/159a516c-7581-5827-98d9-bce2143906db	Low Pass WGS: Primary Tumor	bam	COTC026_0243_T.bam	9240381118	Whole Genome Sequence File	bb8621a1456b56bedd23320ac535752f	COTC026-0243-T
file	15cb9d0f-1fe3-5c06-b1c0-35e885f9d07d	dg.4DFC/15cb9d0f-1fe3-5c06-b1c0-35e885f9d07d	Low Pass WGS: Primary Tumor	bai	COTC026_0929_T.bam.bai	2618512	Whole Genome Sequence File	077b2ce888420ec84e6ccb63745340c3	COTC026-0929-T
file	166f69a7-fb0c-5bc5-9586-6f0f65caf8f9	dg.4DFC/166f69a7-fb0c-5bc5-9586-6f0f65caf8f9	Low Pass WGS: Primary Tumor	bam	COTC026_0425_T.bam	6244938214	Whole Genome Sequence File	dfa5fcfbcf3541e4fa8b97f9ebf869f5	COTC026-0425-T
file	1c343367-936e-5512-b2ed-9a64529c4d35	dg.4DFC/1c343367-936e-5512-b2ed-9a64529c4d35	Low Pass WGS: Primary Tumor	bai	COTC026_0416_T.bam.bai	3259328	Whole Genome Sequence File	5c8bd4f2f4c8be83220af9a300478231	COTC026-0416-T
file	1e435d4f-eb58-5de7-a986-fe8059ede2fd	dg.4DFC/1e435d4f-eb58-5de7-a986-fe8059ede2fd	Low Pass WGS: Primary Tumor	bai	COTC026_2020_T.bam.bai	7486728	Whole Genome Sequence File	529312e481351b1779d45d5bbd8cd19c	COTC026-2020-T
file	21e761df-b638-5318-9102-f1d8a2bb8102	dg.4DFC/21e761df-b638-5318-9102-f1d8a2bb8102	Low Pass WGS: Primary Tumor	bai	COTC026_0241_T.bam.bai	2370424	Whole Genome Sequence File	079e91517e28949749da4f7ae75cfe67	COTC026-0241-T
file	2288ad3e-4d9f-501a-a163-e2498b81069d	dg.4DFC/2288ad3e-4d9f-501a-a163-e2498b81069d	Low Pass WGS: Primary Tumor	bam	COTC026_0242_T.bam	7501859069	Whole Genome Sequence File	77159af181fc98da3728b57d23f7e6d0	COTC026-0242-T
file	22ebb756-5ff3-5619-b78e-8a19b29b6298	dg.4DFC/22ebb756-5ff3-5619-b78e-8a19b29b6298	Low Pass WGS: Primary Tumor	bai	COTC026_0240_T.bam.bai	2737592	Whole Genome Sequence File	34ec1aef0a53d0833de6364e359f9e00	COTC026-0240-T
file	254dfbac-a49d-5617-b836-3319f359a947	dg.4DFC/254dfbac-a49d-5617-b836-3319f359a947	Low Pass WGS: Primary Tumor	bai	COTC026_1128_T.bam.bai	2610392	Whole Genome Sequence File	d7a769e79c2fe8e9372a64e2d4a262a8	COTC026-1128-T
file	26de81d2-8899-5cab-8486-eec150a0e1a5	dg.4DFC/26de81d2-8899-5cab-8486-eec150a0e1a5	Low Pass WGS: Primary Tumor	bai	COTC026_0349_T.bam.bai	2287120	Whole Genome Sequence File	ebfb75962c9b0fd7e5b6d2e0e7d78926	COTC026-0349-T
file	2858cfbc-7bd5-57e2-b997-429d53391138	dg.4DFC/2858cfbc-7bd5-57e2-b997-429d53391138	Low Pass WGS: Primary Tumor	bai	COTC026_0824_T.bam.bai	3568040	Whole Genome Sequence File	a85a5dd4916de3c18d2b25d18f38dce7	COTC026-0824-T
file	2a44f38c-dc21-500b-8d87-9a4dee7104b6	dg.4DFC/2a44f38c-dc21-500b-8d87-9a4dee7104b6	Low Pass WGS: Primary Tumor	bam	COTC026_1128_T.bam	7767432194	Whole Genome Sequence File	daff5690df3b47f90479e0dc8600d4d2	COTC026-1128-T
file	2c80df4c-fd19-50c2-a650-13e952664f74	dg.4DFC/2c80df4c-fd19-50c2-a650-13e952664f74	Low Pass WGS: Primary Tumor	bam	COTC026_0824_T.bam	9053700735	Whole Genome Sequence File	7111b6d8c36b6a9354ed558a1682071d	COTC026-0824-T
file	2f0d36c8-fb0e-5543-965b-cc5dc47827b0	dg.4DFC/2f0d36c8-fb0e-5543-965b-cc5dc47827b0	Low Pass WGS: Primary Tumor	bai	COTC026_0653_T.bam.bai	2811504	Whole Genome Sequence File	59e361013b1ca48410670923c53bd10b	COTC026-0653-T
file	30589a25-6d11-5f1c-8493-eb3421f365d3	dg.4DFC/30589a25-6d11-5f1c-8493-eb3421f365d3	Low Pass WGS: Primary Tumor	bai	COTC026_0536_T.bam.bai	4859456	Whole Genome Sequence File	45457e9f344bcd77930ee0baa7382cca	COTC026-0536-T
file	30b94a80-efa9-51e3-9c4c-f9ba3795eff2	dg.4DFC/30b94a80-efa9-51e3-9c4c-f9ba3795eff2	Low Pass WGS: Primary Tumor	bam	COTC026_0925_T.bam	8121536377	Whole Genome Sequence File	2638044a2700e4cec9b92d5ca48379de	COTC026-0925-T
file	37f7ae64-3a63-5801-88df-6febc26b3f30	dg.4DFC/37f7ae64-3a63-5801-88df-6febc26b3f30	Low Pass WGS: Primary Tumor	bai	COTC026_0345_T.bam.bai	2546208	Whole Genome Sequence File	1c8c9e9324ff648805483dfa1fcbc6aa	COTC026-0345-T
file	381b9d19-0d4b-51f5-92b9-2083defb7cc1	dg.4DFC/381b9d19-0d4b-51f5-92b9-2083defb7cc1	Low Pass WGS: Primary Tumor	bam	COTC026_0530_T.bam	7255491413	Whole Genome Sequence File	3575c40898796b8b58698f06921da013	COTC026-0530-T
file	393e293a-44b6-509f-b67f-6de61007168c	dg.4DFC/393e293a-44b6-509f-b67f-6de61007168c	Low Pass WGS: Primary Tumor	bai	COTC026_1124_T.bam.bai	2295168	Whole Genome Sequence File	e22e6c65d63998eb0d38d1b6bf7dcedb	COTC026-1124-T
file	3d98bef0-2dc6-5e98-87cf-ed0d546de582	dg.4DFC/3d98bef0-2dc6-5e98-87cf-ed0d546de582	Low Pass WGS: Primary Tumor	bai	COTC026_1031_T.bam.bai	3384896	Whole Genome Sequence File	69df7b8c708dd1bc39d6b0e19d2346b2	COTC026-1031-T
file	41c77138-7a45-5326-b8e3-d799b1a309fb	dg.4DFC/41c77138-7a45-5326-b8e3-d799b1a309fb	Low Pass WGS: Primary Tumor	bam	COTC026_0341_T.bam	7987854996	Whole Genome Sequence File	93578765697a8dd96da7a6ad0200d3fe	COTC026-0341-T
