guid	md5	size	acl	authz	urls
dg.4DFC/00f90d2e-1cec-53eb-9576-4dd1686295b2	5213d7999028324584245a797351bc06	8920552179	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1004_T.bam
dg.4DFC/08c5f087-15c8-5c9e-9ce2-d52b7f0ff76d	b9b5d21c17b50732dd9a1f4ff965b439	2316576	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1007_T.bam.bai
dg.4DFC/108df202-63d9-5161-90f5-2f965cb17c3d	9440d3785289698745269dd1a9bfccae	8059405511	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0203_T.bam
dg.4DFC/13eb84a7-79e1-543e-bfc7-8b1a96fab031	af3e482dbc28803a29a08b5ac074f19a	2601504	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1015_T.bam.bai
dg.4DFC/15b234fd-541b-5942-940d-65aca7a7abac	f75bedcf7790100b0c98eab619d62619	6849668624	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0503_T.bam
dg.4DFC/1681e070-9443-55ea-85da-5ab1d1089f09	0fca13a4a03c624c2f54a1cb3640a5ed	2176496	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1024_T.bam.bai
dg.4DFC/1e1d6374-19c9-5f59-96ab-6d1d3c578428	a6dea0ccc97f7e2e2d8127ac26053688	6742905312	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1003_T.bam
dg.4DFC/2a7c2d1d-8c2f-5bbc-940a-09b8d5f521c6	2b94a6d4e7930ea801438fb82a1bf169	2166040	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1014_T.bam.bai
dg.4DFC/2b02b925-e4d3-576a-a8bc-f9086df4593c	8d199e5077ecb15f51e5c3a2c0628341	8106931787	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1016_T.bam
dg.4DFC/3a8eda91-59df-5b44-8c98-0e2c8317c148	7aa083bffb0c8942580990fca08e18e7	8363620356	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1022_T.bam
dg.4DFC/4c299ef8-830d-505d-865e-bd424ff96fed	4387ea29c06e4c4a7d373f019541a164	7151711804	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1001_T.bam
dg.4DFC/4d76c9e1-0655-5802-90d0-a01499415e15	90b91dacb6a1c6f353a5879aabc99a99	5852038165	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0701_T.bam
dg.4DFC/4eb75132-c0ad-58de-ac16-b91bfd4bcf93	2ddb8312d0141abc408971cbd71e75aa	9943205780	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0202_T.bam
dg.4DFC/53831b42-b18f-5422-992a-0371e0ecfef4	4ebbc3e853decbeebfcb608ee53f9c79	2168600	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1013_T.bam.bai
dg.4DFC/5a4f3e9a-1eb2-50bb-aa20-1ccee7c1cbfc	24cac3a4e000b1397ecb9568f7af0860	6795663484	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1009_T.bam
dg.4DFC/5d2dba42-fce5-550c-8983-9d2cb04e590b	624bf1ec8e29c7c9801ec15568908a92	6633991377	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0504_T.bam
dg.4DFC/5f109b5e-41c9-580f-aa3d-3b74c424ac25	06b9183540a22b3ffcd274f320fdd2d2	3856224	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1004_T.bam.bai
dg.4DFC/68683ec0-cf4f-5ec2-a809-a0e594e3c7db	88797bb5a080fdb4d077f50a34cc23c9	7227917666	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1018_T.bam
dg.4DFC/6a9330f0-ad34-533e-97f9-6c3f117f4135	e4ed3d18765a5ab10a3d314711deb299	8564351152	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1027_T.bam
dg.4DFC/72e0fb70-3b22-5270-b7ad-619daa5dddb3	82332dbccdc928f3cbea71413007abc0	6409353346	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1006_T.bam
dg.4DFC/753e5e28-27a2-5377-90e9-01bce2c1efa2	723948e32a45be6b3262a304493ba86b	4731696218	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1013_T.bam
dg.4DFC/7d737d0e-412e-50e2-b09d-36fd62d5f2e5	a3573ede4248ee03bfcd89c0111df6a0	4605832	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0202_T.bam.bai
dg.4DFC/892118c6-7daf-5e10-b291-4379845cd6ac	fa2690faa63b59501d27e0da766f48f6	2893656	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0703_T.bam.bai
dg.4DFC/9c35f113-bb00-5588-a7f0-c2caf0af7ec9	96c832eaeff13b7f790d9c14e284740c	2583440	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1012_T.bam.bai
dg.4DFC/9fdccc72-11d5-5a26-8bbf-68fb4aaf24b4	5a51c27a6e56c423ef12ca3c933a8299	2367448	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_0505_T.bam.bai
dg.4DFC/a1db12ca-7b0a-5053-8307-7ca0eba3091c	86e0d83c92705766649d6673cd0689b4	5405560474	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1014_T.bam
dg.4DFC/a7de4ba4-4ada-5820-a283-a261c0136474	c86bfa4f787fe8c1c433f3982c7a4e2b	3315840	['*']	['/open']	s3://nci-crdc-data-bucket-prod/78ccc086-5327-4be3-b636-06bd9bef4db3/COTC030_1027_T.bam.bai
