type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_description	file_type
file	T-115-RNAseq.bam.bai	5fd7f1ec-4f4d-5311-9753-9747b555c518	3772664	ff923517b0b973deba8e4633876ae0f9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-115-RNAseq.bam.bai	bai	MGT01-T-115	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-159-RNAseq.bam.bai	ce0f1a6b-ae5f-52c8-bcbb-6f5b1158d593	3736728	1f2d61550ce9402c96fa5850a8f4b1e3	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-159-RNAseq.bam.bai	bai	MGT01-T-159	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-32510-RNAseq.bam.bai	175ba71a-0ca6-5351-b81d-0e760e1a699e	4331576	eca8d55c18a7e1e7edd3502e7e5900e5	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-32510-RNAseq.bam.bai	bai	MGT01-T-32510	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-341400-RNAseq.bam.bai	faf56d9e-24a8-5622-bfa9-ca1f0b3b57c2	4867384	7acdb681d91b5ae4dafc6b2af9a09c49	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-341400-RNAseq.bam.bai	bai	MGT01-T-341400	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-401130-RNAseq.bam.bai	548bfda1-95d6-59ba-9b05-ee9e1615cd31	3756784	bd3d9f5755fef56d354e2ec0a7831e61	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-401130-RNAseq.bam.bai	bai	MGT01-T-401130	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-401188-RNAseq.bam.bai	d8035f83-091f-5c76-b34e-0ec481503ee6	4312456	51eaa2679ad627f50e23b0194c9fc968	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-401188-RNAseq.bam.bai	bai	MGT01-T-401188	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-402421-RNAseq.bam.bai	9c73b87c-232a-540f-91c0-87605faac836	3510584	3011a31249ccb2f49f9cbf62c238436a	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-402421-RNAseq.bam.bai	bai	MGT01-T-402421	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-403802-RNAseq.bam.bai	e0e0d3d8-1644-5d82-aca4-aa1abf6171dd	3699576	3df3231797409fad223409d17cc96900	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-403802-RNAseq.bam.bai	bai	MGT01-T-403802	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-406434-RNAseq.bam.bai	8cbd97db-c74c-5bd2-9bc2-a5b050a48655	4285896	e5250eaa73a213d852f1c9ea3bc495f8	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-406434-RNAseq.bam.bai	bai	MGT01-T-406434	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-5-RNAseq.bam.bai	0764e08f-8d67-5c7f-9924-61207cd61041	3852328	8c445c5e86489f459bd52b852ceeb2ca	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-5-RNAseq.bam.bai	bai	MGT01-T-5	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-518-RNAseq.bam.bai	6e87a76e-e785-5223-849c-612d938afc93	3745000	368b54976b609815322584fe781e311a	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-518-RNAseq.bam.bai	bai	MGT01-T-518	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-76-RNAseq.bam.bai	93297495-a953-5938-96e3-806fcb042fc2	3993232	ad73b4bc4f5974437a6eb618bbb27008	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-76-RNAseq.bam.bai	bai	MGT01-T-76	mammary tumor sample: bam index of RNAseq reads	Index File
file	T-159-WES.bam.bai	d35fefff-4d77-5049-8b11-e6a7111d363e	5800736	9a65d93980b56330ecaa623db7da9781	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-159-WES.bam.bai	bai	MGT01-T-159	mammary tumor sample: bam index of WES reads	Index File
file	T-32510-WES.bam.bai	db43e9ef-553c-573c-a776-b6acd65ffdd5	5778776	87f3d4c977d5a2377b03eaad8b94a595	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-32510-WES.bam.bai	bai	MGT01-T-32510	mammary tumor sample: bam index of WES reads	Index File
file	T-406434-WES.bam.bai	15e64c7a-cc07-5497-9352-25e1a0f56ea2	5836544	d8a2bfefabbbd7808a245764cf1c7e77	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-406434-WES.bam.bai	bai	MGT01-T-406434	mammary tumor sample: bam index of WES reads	Index File
file	T-5-WES.bam.bai	5eb1d5aa-ddba-5dbd-b5f8-635f28d89edd	5464544	175bfc08968c663ebbe974ccc5f7dd99	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-5-WES.bam.bai	bai	MGT01-T-5	mammary tumor sample: bam index of WES reads	Index File
file	T-76-WES.bam.bai	bedc1cab-069b-52f6-a198-ba11b9088f9e	6774432	d7cbd74434ff28376066a62850fdf9c2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-76-WES.bam.bai	bai	MGT01-T-76	mammary tumor sample: bam index of WES reads	Index File
file	T-32510-WGS.bam.bai	803f5889-0802-5ae7-88e3-fd6e0fab21a7	6962528	a679468d68723f3fc4af9b180ed6e7a9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-32510-WGS.bam.bai	bai	MGT01-T-32510	mammary tumor sample: bam index of WGS reads	Index File
file	T-406434-WGS.bam.bai	128a1963-9579-5063-8dc6-3237490c3f5b	6961000	d47c55f1af746933073c31f726134979	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-406434-WGS.bam.bai	bai	MGT01-T-406434	mammary tumor sample: bam index of WGS reads	Index File
file	T-76-WGS.bam.bai	b05083b4-14f9-54bf-a2cc-1aa18634e793	7012504	a917279c691b3f72833bcdeef7cf779d	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-76-WGS.bam.bai	bai	MGT01-T-76	mammary tumor sample: bam index of WGS reads	Index File
file	N-115-RNAseq.bam.bai	2abbbfd7-210a-5d81-a1ec-08eec2dd9251	3690712	30b067fe904fd6cdded91958366a45b6	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-115-RNAseq.bam.bai	bai	MGT01-N-115	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-31005-RNAseq.bam.bai	cd4f810b-64de-5533-95a0-cef303008089	3677336	89a482ed173f60d021260779e1a20104	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-31005-RNAseq.bam.bai	bai	MGT01-N-31005	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-32510-RNAseq.bam.bai	0c067958-820d-5bb6-82dc-2c15b0c69f34	3905784	8d76534f43f8838b97fb55bc9f7c1743	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-32510-RNAseq.bam.bai	bai	MGT01-N-32510	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-401188-RNAseq.bam.bai	257d9993-1a01-5247-8adf-4f6665d01b59	3979280	e2efd8feca48c8e923d0689b027ef4cc	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-401188-RNAseq.bam.bai	bai	MGT01-N-401188	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-406434-RNAseq.bam.bai	275b3e77-68f4-5683-899e-8e4cd88889d0	3845464	ebd443cd3e3f287627906af5afe4bece	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-406434-RNAseq.bam.bai	bai	MGT01-N-406434	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-76-RNAseq.bam.bai	13064519-1827-5f45-a1c6-ba50305ba03e	3795096	adbb5db63823f6dff51e3377b05a6f5d	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-76-RNAseq.bam.bai	bai	MGT01-N-76	matched normal tissue sample: bam index of RNAseq reads	Index File
file	N-159-WES.bam.bai	b3213f09-f1c2-5173-ac41-c7fc70777493	6451200	03a5b974b93722607135ec7d1063f50f	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-159-WES.bam.bai	bai	MGT01-N-159	matched normal tissue sample: bam index of WES reads	Index File
file	N-32510-WES.bam.bai	e714a8bd-a198-5113-ada4-bd7ffc3a67df	5661696	be69511ecb5a98bbc493f8f7a0ec4070	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-32510-WES.bam.bai	bai	MGT01-N-32510	matched normal tissue sample: bam index of WES reads	Index File
file	N-406434-WES.bam.bai	f5766798-68b9-560a-bb98-b7113db95ab7	5709696	648e915a15f2fd5001bc84aea14fcb08	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-406434-WES.bam.bai	bai	MGT01-N-406434	matched normal tissue sample: bam index of WES reads	Index File
file	N-5-WES.bam.bai	9be80ee6-9797-5c91-ad5c-a210b4f31066	5244920	2bfe5a5ee282e1e9f3f8f66ca9bc9dc4	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-5-WES.bam.bai	bai	MGT01-N-5	matched normal tissue sample: bam index of WES reads	Index File
file	N-76-WES.bam.bai	a9f1507d-77f7-5a12-be46-0726329d9504	5738400	cbbde9d5d19b7db7629546ff41d37dba	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-76-WES.bam.bai	bai	MGT01-N-76	matched normal tissue sample: bam index of WES reads	Index File
file	N-32510-WGS.bam.bai	abe32f3b-4a17-5378-8abc-c87664510fc0	6963248	eda39f59d32da3b70f98ca985a2c3cbb	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-32510-WGS.bam.bai	bai	MGT01-N-32510	matched normal tissue sample: bam index of WGS reads	Index File
file	N-406434-WGS.bam.bai	128b65a7-91eb-5469-9495-fc368e5f395b	6963016	d74989a8ba371cf1f11de4d99e0ac5b8	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-406434-WGS.bam.bai	bai	MGT01-N-406434	matched normal tissue sample: bam index of WGS reads	Index File
file	N-76-WGS.bam.bai	0ed2ce54-48cb-563b-8472-3f984ea27d59	7011264	ea8bf76b2d75c0d5da07eb800554bc13	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/N-76-WGS.bam.bai	bai	MGT01-N-76	matched normal tissue sample: bam index of WGS reads	Index File
file	T-115-RNAseq.bam	0e81be9b-ce46-56cd-929c-b84c130a1d31	2892466366	1af40ec22ab76e1fc88ec6007cf9ab79	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-115-RNAseq.bam	bam	MGT01-T-115	mammary tumor sample: RNA-seq reads to CanFam3.1	RNA Sequence File
file	T-159-RNAseq.bam	b6dceb5c-8291-5544-83a2-533f1458b72a	2384073942	12729b1626442124306c879211751636	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-159-RNAseq.bam	bam	MGT01-T-159	mammary tumor sample: RNA-seq reads to CanFam3.1	RNA Sequence File
file	T-32510-RNAseq.bam	a0d082f4-473a-5ed7-a9ab-1fed07591cea	4258331401	b59cf6c89ee29e332e2d0113a0a71181	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-32510-RNAseq.bam	bam	MGT01-T-32510	mammary tumor sample: RNA-seq reads to CanFam3.1	RNA Sequence File
file	T-341400-RNAseq.bam	eb5281c7-d284-54d5-a017-bacdbea36099	3453511498	fa6b8b81a7f7646316c83949521be6ee	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-341400-RNAseq.bam	bam	MGT01-T-341400	mammary tumor sample: RNA-seq reads to CanFam3.1	RNA Sequence File
file	T-401130-RNAseq.bam	5901bcfa-657c-5954-8b26-96fd5624742e	2323285635	23dcc8f8530504936c249320b9026b41	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/CMCP/MGT01/T-401130-RNAseq.bam	bam	MGT01-T-401130	mammary tumor sample: RNA-seq reads to CanFam3.1	RNA Sequence File
