type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	sample.sample_id	file_type	file_description
file	010378_0103_sorted.bam	60465915-68d7-5b2c-8435-2daf130bf8b1	21852779023	51ea1da01988739400591bc357d8ff15	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010378_0103_sorted.bam	bam	NCATS-COP01-CCB010378 0103	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
file	010378_0103_sorted.bam.bai	1c13ea95-2d5e-5624-9502-7fa9fae4d40a	4960728	16afa3a388548b2cef08497bab764d7e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/010378_0103_sorted.bam.bai	bai	NCATS-COP01-CCB010378 0103	Index File	Binary alignment file indexing 
file	020128_0104_sorted.bam	f98f1893-9764-5349-8ade-7c74592a951e	22862534678	6373b697cf5824605977c825903a92f5	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/020128_0104_sorted.bam	bam	NCATS-COP01-CCB020128 0104	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
file	020128_0104_sorted.bam.bai	8078b80e-a374-5ce7-827b-6f3fbb9bba40	4905976	f2073115c0a95b517de8eb74f98b14bb	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/020128_0104_sorted.bam.bai	bai	NCATS-COP01-CCB020128 0104	Index File	Binary alignment file indexing 
file	030162_0103_sorted.bam	5933cb05-6d82-5913-858f-a5dfa5a2af08	21202315335	76187cdc35af1116657c5283a2fce5c7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/030162_0103_sorted.bam	bam	NCATS-COP01-CCB030162 0103	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
file	030162_0103_sorted.bam.bai	102c380d-64a2-5c4f-a5e7-91fac91fe273	4736032	53323e507f15dd85867743af3a7ad0cf	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/030162_0103_sorted.bam.bai	bai	NCATS-COP01-CCB030162 0103	Index File	Binary alignment file indexing 
file	030227_0103_sorted.bam	bbc41524-0912-5226-9629-ed292af3c9b3	22836808150	9320ce7b8e29edefb173003f3388b5e6	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/030227_0103_sorted.bam	bam	NCATS-COP01-CCB030227 0103	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
file	030227_0103_sorted.bam.bai	119768bf-82cc-5b48-980f-32d42d040384	5478168	64bc51d25313d60f233c7b0dc9531888	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/030227_0103_sorted.bam.bai	bai	NCATS-COP01-CCB030227 0103	Index File	Binary alignment file indexing 
file	050096_0103_sorted.bam	91106c94-dbed-52c4-aca7-f79b0fa2ba1e	21966953090	407f6be5274c99637ca56f8e2aaeb12c	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/050096_0103_sorted.bam	bam	NCATS-COP01-CCB050096 0103	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
file	050096_0103_sorted.bam.bai	dfa86c59-aa85-5f63-9b57-d1d892c8a718	5166680	3fb0a25f40aa69f312d847b4c623070e	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/050096_0103_sorted.bam.bai	bai	NCATS-COP01-CCB050096 0103	Index File	Binary alignment file indexing 
file	050170_0103_sorted.bam	cefe77ef-6bf1-543b-884e-be94ec88bd2d	23135386797	d8a7fa4a36d9499ca6676bf547797e27	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/NCATS/NCATS01/Bam-files/050170_0103_sorted.bam	bam	NCATS-COP01-CCB050170 0103	RNA Sequence File	Binary alignment file: seq reads to canfam3.1
