GUID	md5	size	acl	url
dg.4DFC/8ab9a022-abab-5ffa-9b9d-c95b5b71a94f	82daa0767e9a8108a506564473c8a641	1216661403.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-A-Tumor_1_SL325656.fastq.gz
dg.4DFC/8ee10715-3d3e-5384-bcfa-8739e9c20c51	8b92473d76712d8324d742dd8821d9cb	1255901573.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-A-Tumor_2_SL325656.fastq.gz
dg.4DFC/821dfe10-18c6-5fba-be30-05c238f16555	7b99d452e5253515ec262951252d521b	1503367906.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-A-Normal_1_SL325661.fastq.gz
dg.4DFC/ec650de0-6a73-57e3-866f-506e628ef4a8	59e76cd8e20aaaf59e39d3648d74288c	1532670272.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-A-Normal_2_SL325661.fastq.gz
dg.4DFC/545b4bb6-3b94-5719-a4c5-87114fa0365b	4dc01670e54a07059278a6399c32f453	1586721511.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-B-Tumor_1_SL325657.fastq.gz
dg.4DFC/028e4f60-8216-5962-a5cf-097ecc9320be	0999f4658148337a392d135d28a34b50	1638826757.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-B-Tumor_2_SL325657.fastq.gz
dg.4DFC/e34db11e-2a35-5a7e-a99f-b80e650be9a1	6e4d35136a3e6f12da147733fae14805	1519660041.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-B-Normal_1_SL325662.fastq.gz
dg.4DFC/69b3ab15-689c-5b9c-b8fa-5c30e4f6854a	affd31285be97e755aeebc7430149bd3	1562607850.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-B-Normal_2_SL325662.fastq.gz
dg.4DFC/bc24145a-28c2-57e4-95ef-3117bba2f4dc	55adc4436e2a2847a8ce912389636784	1003601064.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_1_SL325658.fastq.gz
dg.4DFC/9f99e37e-115d-5083-a62d-ffb00e32af6a	e62ea774d3ac566ff378891926f307a1	1033192113.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_2_SL325658.fastq.gz
dg.4DFC/7fda259b-34e8-53bf-ba43-648d84fb7728	3773570401caf42da49fbde810dced06	1554290671.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Normal_1_SL325663.fastq.gz
dg.4DFC/377552c8-4761-5af5-9449-e4f69873bc6f	e2bdcbe86f96a11d713f7df7eda61e35	1603266107.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Normal_2_SL325663.fastq.gz
dg.4DFC/3e469a3e-2f38-570d-aa0b-f146ae8dcd7a	a5834dcbc69512288b8be13594d0846d	1365694457.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-D-Tumor_1_SL325659.fastq.gz
dg.4DFC/f9e51e9b-8622-5d45-8e52-ac2b3e5c2149	6743c1d3a9d4478485f5971ac36ee1d7	1406005367.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-D-Tumor_2_SL325659.fastq.gz
dg.4DFC/5f16e687-e30a-54d0-8013-cadec492f3cc	458c8e2333945a8281dd99d46ad5ea73	1720391833.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-D-Normal_1_SL325660.fastq.gz
dg.4DFC/ba1c349e-2d18-503c-aa17-41df4039a309	85ecdeb7a1271ce0eb5569ecfce91126	1763199747.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-D-Normal_2_SL325660.fastq.gz
dg.4DFC/0beb176b-b68c-517a-8681-429584e7820e	d5f9fbc6f3a4fb62c4a654c38d627322	1501683120.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-E-Tumor_1_SL325664.fastq.gz
dg.4DFC/344d5a97-cf1a-58c3-bf16-30479fbbdb07	eafa03b096e6c82f7d71efd4d0c923bd	1538302167.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-E-Tumor_2_SL325664.fastq.gz
dg.4DFC/4b630b57-97e7-5e0f-ac55-f37fe1b7a3eb	09e9f2a1b7cc1eb357f486b24cbeb209	1538223328.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-E-Normal_1_SL325665.fastq.gz
dg.4DFC/d0d65198-4bf1-5422-8859-167288ded2bf	e2d46ba323b19927e33255bddc5da60b	1574829297.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-E-Normal_2_SL325665.fastq.gz
dg.4DFC/244f57a7-2819-547f-8d24-330e24a57cef	e2ffbd90a4ae76387ffff087a401094d	1501873273.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-F-Tumor_1_SL325670.fastq.gz
dg.4DFC/06efc5b0-067d-5c07-b572-5e5c97604fdb	73bfdb6e616447d3dd075dcb9075b30e	1539965472.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-F-Tumor_2_SL325670.fastq.gz
dg.4DFC/c2d805d2-3031-5fb6-9fe3-d2fd506fa71e	e4d116c66c739e53efd3b9ad9eec51f6	1722669909.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-F-Normal_1_SL325671.fastq.gz
dg.4DFC/4d2db9ec-85df-57ba-8e58-fa0e7dd75b33	6fb287456f791bcaf38017539f88461a	1779662340.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-F-Normal_2_SL325671.fastq.gz
dg.4DFC/7775bb9e-10fd-5994-ad75-a0bb26e32003	ea33dfb30acd4d98d0c7132915993931	1507173766.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-G-Tumor_1_SL325666.fastq.gz
dg.4DFC/eb493f47-6b2c-5bd4-96c6-286c0cda5c6d	768beae4df6394145f7249b452f2875f	1544596954.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-G-Tumor_2_SL325666.fastq.gz
dg.4DFC/f03dbbc4-530e-5c9f-a5b2-557791d9308a	d832f2c322e8ca53b2deeaaefff69770	1654563643.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-G-Normal_1_SL325667.fastq.gz
dg.4DFC/021a1474-8dd3-55bd-8e96-defb0598aad8	92e920f444aaad3074d815480f9ddcb5	1713418006.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-G-Normal_2_SL325667.fastq.gz
dg.4DFC/6d5c81e9-adcf-522d-8181-dc8c6c27853f	c8ea151e2874f3b5f3e2c9c70fb33870	66488728.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_filtered_feature_bc_matrix.h5
dg.4DFC/9bbf4c04-db2a-508b-bd8e-71e680a7c474	59518e88832de8afb87d999a3fcac31e	2240364.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_features.tsv.gz
dg.4DFC/ed44812b-be1e-5988-ace9-ce65b28dc251	ccd89498d20540f90ca97a9e86b3ab64	24849.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_barcodes.tsv.gz
dg.4DFC/0f3d9daa-a2f8-53de-89b5-389d8aa10f83	7717750891426a5de75ca4b54c7ba3cd	1920882177.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/OSA04/OSA04-C-Tumor_atac_fragments.tsv.gz
