type	uuid	crdc_id	file_description	file_format	file_name	file_size	file_type	md5sum	sample.sample_id
file	001a5427-0027-46df-8f2e-0f53d07b80e6	dg.4DFC/001a5427-0027-46df-8f2e-0f53d07b80e6	NanoString RCC (tumor); timepoint: D0; Baseline Y; title: 05-T-KPT9274-LN-A	RCC	05-T-KPT9274-LN-A.RCC	29686	NanoString nCounter Canine IO Analysis File	b994b8496b17430501586a582e17a2b1	PRECINCT02-05-T-KPT9274-T
file	011396b7-a5cc-53c6-ae0b-45c865b9211b	dg.4DFC/011396b7-a5cc-53c6-ae0b-45c865b9211b	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14096158_1.fastq.gz	2661171598	Whole Genome Sequence File	9f17ee7f9c8b2a0f5a147b245bf936f7	PRECINCT02-05-T-RV1001-N
file	01269e9a-5ae7-5bb6-87dd-3f64f3abe958	dg.4DFC/01269e9a-5ae7-5bb6-87dd-3f64f3abe958	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102972_1.fastq.gz	7066376189	Whole Genome Sequence File	e3e2d89a5d3cd9e7bea547be46dfb043	PRECINCT02-08-T-DOXTAK-N
file	0162a962-e037-4e56-adbe-aac4c3be7967	dg.4DFC/0162a962-e037-4e56-adbe-aac4c3be7967	NanoString RCC (tumor); timepoint: D0; Baseline N; title: 06-T-KPT9274-LN-A	RCC	06-T-KPT9274-LN-A.RCC	29726	NanoString nCounter Canine IO Analysis File	9022ba79ada3ac53d74499ffa5f24c49	PRECINCT02-06-T-KPT9274-T
file	024315b1-9202-5273-beff-459481264129	dg.4DFC/024315b1-9202-5273-beff-459481264129	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102927_2.fastq.gz	4283578751	Whole Genome Sequence File	466e6fb0d689a84bf3acbf874f3446de	PRECINCT02-05-T-DOXTAK-T
file	02f3f89e-aa37-522e-a51b-51ce0d9a96a2	dg.4DFC/02f3f89e-aa37-522e-a51b-51ce0d9a96a2	WGS FASTQ - Tumor - Canine DLBCL - PRECINCT02	fastq	ERR14102056_1.fastq.gz	3971644955	Whole Genome Sequence File	ecff7a71713b6a6d77d58f66497bed1c	PRECINCT02-06-T-RVKPT-T
file	0305c86d-a243-5f1a-b911-6248fc5a9bf4	dg.4DFC/0305c86d-a243-5f1a-b911-6248fc5a9bf4	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14102935_1.fastq.gz	6740561878	Whole Genome Sequence File	c0e961705b0b27382792aa66610aa569	PRECINCT02-05-T-DOXTAK-N
file	0326f5e7-61b3-445c-a8aa-822bc02f955c	dg.4DFC/0326f5e7-61b3-445c-a8aa-822bc02f955c	NanoString RCC (tumor); timepoint: Relapse; Relapse Y; title: 06-T-DOXRV-LN-D	RCC	06-T-DOXRV-LN-D.RCC	29628	NanoString nCounter Canine IO Analysis File	72ded73441f8c100ec85dbce24e05dd9	PRECINCT02-06-T-DOXRV-T
file	0338baf2-967c-5806-bd1e-c6dc4b3fb8f9	dg.4DFC/0338baf2-967c-5806-bd1e-c6dc4b3fb8f9	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14098061_1.fastq.gz	4842363484	Whole Genome Sequence File	eaf3518357e1a981ee6adee22cf48cfb	PRECINCT02-01-T-KPT9274-N
file	03390ec2-deb0-503f-a1eb-01b751196c38	dg.4DFC/03390ec2-deb0-503f-a1eb-01b751196c38	WGS FASTQ - Normal Blood (cfDNA) - Canine DLBCL - PRECINCT02	fastq	ERR14098086_2.fastq.gz	7092100861	Whole Genome Sequence File	7e043e5fb8832fa06b70d33b71a0ce26	PRECINCT02-04-T-KPT9274-N
