type	case.case_record_id	demographic_record_id	breed	additional_breed_detail	patient_age_at_enrollment	date_of_birth	sex	weight	neutered_indicator
demographic	STS01-T148	STS01-T148	Mixed Breed	English Setter mix	14.8	1/1/1990	Male	37.7	Yes
demographic	STS01-T167	STS01-T167	Mixed Breed	Staffordshire Bull Terrier mix	8.6	4/15/1996	Male	36	Yes
demographic	STS01-T218	STS01-T218	Mixed Breed	NA	11.5	9/1/1993	Female	30.5	Yes
demographic	STS01-T230	STS01-T230	Mixed Breed	NA	13.3	1/1/1992	Female	23.2	Yes
demographic	STS01-T232	STS01-T232	Poodle	NA	6.9	6/6/1998	Male	36.6	Yes
demographic	STS01-T282	STS01-T282	Mixed Breed	Australian Shepherd and Border Collie mix	12.5	1/1/1993	Female	34.5	Yes
demographic	STS01-T311	STS01-T311	Mixed Breed	NA	7.5	2/1/1998	Male	30.1	Yes
demographic	STS01-T320	STS01-T320	Mixed Breed	NA	15.5	3/1/1990	Male	32	Yes
demographic	STS01-T336	STS01-T336	Mixed Breed	Labrador Retriever mix	11.3	6/1/1994	Female	33.5	Yes
demographic	STS01-T344	STS01-T344	Basset Hound	NA	10.8	12/1/1994	Female	22.2	Yes
demographic	STS01-T416	STS01-T416	Alaskan Malamute	NA	10.2	9/23/1995	Male	48	Yes
demographic	STS01-T479	STS01-T479	German Shepherd Dog	NA	9.3	11/1/1996	Female	34	Yes
demographic	STS01-T485	STS01-T485	Mixed Breed	NA	6.3	12/1/1999	Female	29	Yes
demographic	STS01-T697	STS01-T697	Labrador Retriever	NA	8.9	3/3/1998	Female	41.4	Yes
demographic	STS01-T738	STS01-T738	German Shorthaired Pointer	NA	5.8	6/1/2001	Male	32.5	Yes
demographic	STS01-T1124	STS01-T1124	Italian Greyhound	NA	8.3	10/28/2000	Male	8.5	Yes
demographic	STS01-T1238	STS01-T1238	Labrador Retriever	NA	9.1	3/1/2001	Male	41.4	Yes
demographic	STS01-T1292	STS01-T1292	Beagle	NA	12.4	5/1/1998	Male	14.6	Yes
demographic	STS01-T1407	STS01-T1407	Mixed Breed	Anatolian Shepherd Dog mix	3.9	8/8/2007	Male	39.4	Yes
demographic	STS01-T1462	STS01-T1462	Labrador Retriever	NA	11.9	2/1/2000	Male	52.5	Yes
demographic	STS01-T1490	STS01-T1490	Golden Retriever	NA	5.4	10/11/2006	Male	31	Yes
demographic	STS01-T1585	STS01-T1585	Beagle	NA	10	10/23/2002	Female	14.8	Yes
demographic	STS01-T1834	STS01-T1834	Mixed Breed	Australian Cattle Dog mix	12.6	1/1/2002	Male	26.8	Yes
demographic	STS01-T1860	STS01-T1860	Mixed Breed	Cocker Spaniel and Poodle mix	13.5	4/1/2001	Male	10.8	Yes
demographic	STS01-T1891	STS01-T1891	Labrador Retriever	NA	9.7	3/13/2005	Male	46	Yes
demographic	STS01-T1921	STS01-T1921	Golden Retriever	NA	11.1	12/23/2003	Female	41	Yes
demographic	STS01-T1923	STS01-T1923	Siberian Husky	NA	10.5	7/7/2004	Male	30.7	Yes
demographic	STS01-T1989	STS01-T1989	Labrador Retriever	NA	11.1	6/27/2004	Female	32.8	Yes
demographic	STS01-T2063	STS01-T2063	Mixed Breed	NA	10.2	1/1/2006	Female	28	Yes
