GUID	md5	size	acl	url
dg.4DFC/25058e95-af1e-5972-b2f0-2d7d4c431ac3	7b8bc84e963cb1f323a026fb13077d24	29866.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/STS01_Study_Protocol.docx
dg.4DFC/53a1e7c3-7477-528d-b1e5-216e32832ac8	2c28c75cf4f3807c4f1194dc062e2fc7	3623272.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/STS01_Gene_Count_Matrix.csv
dg.4DFC/b373edbe-b69c-5b0e-abef-10f9373fcfa0	b46aacadbd29adef476ea02f7a32d3d3	6371959.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/STS01_Supplementary_Figures.pdf
dg.4DFC/d7242b9c-8691-5089-bae2-202b4b579055	1128d8e63127cd02ed7061e6a83ecd56	968014.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/STS01_Supplementary_Tables.xlsx
dg.4DFC/3793cd1a-08ee-5d67-9e88-09551d12c580	3d73717d97b3a7dfe4114c96d4bf3ed7	5289528.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1124_recal_reads.bai
dg.4DFC/e114da3f-0c00-5c61-be6c-c36e8cd58f0c	7a66f3be9c09e293dd02b0bf850c9819	8292745997.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1124_recal_reads.bam
dg.4DFC/b74530de-7fef-5b56-920a-b662c8c15a6b	32e218d8e27bb0f787e9bd28ffd7c904	5287928.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1238_recal_reads.bai
dg.4DFC/6fa53496-a05c-51c9-9cef-47cd6f118a00	871f272f01718b23e4374d434b072691	8181060372.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1238_recal_reads.bam
dg.4DFC/bdfffe56-1ea5-50e5-85be-3d92bb3f9095	2b50120ced2c3cd0fe0a517ae184f501	5276696.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1292_recal_reads.bai
dg.4DFC/9a897b56-f55e-5527-83dd-cf7295ad5c7c	5524906ebe49f13df8c79bbbd82c2f39	8167395560.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1292_recal_reads.bam
dg.4DFC/1f05ee96-2e47-5dd5-9471-75543a17baf7	caf686158fbcc721180053cf6219697c	5272400.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1407_recal_reads.bai
dg.4DFC/592bcd5a-ac1a-56d6-afa7-865f5a456dd9	cc4215e5ec4038d34a80f24b8b6430ae	9014254330.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1407_recal_reads.bam
dg.4DFC/445f4fbf-8e93-577f-90d4-1abc0e8d3eb4	6efed398e2ec5316c3cebd652dcd1cc9	5035304.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1462_recal_reads.bai
dg.4DFC/5c8752d8-1387-56d0-9a3c-f0c1fd4ead19	26c5c5a334fb465f42ffef988db89485	15691999961.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1462_recal_reads.bam
dg.4DFC/f8e4eaa8-68d5-56ce-b16a-2734e0d46c8e	02f7ec1ad7633a7622b789ef8d3a43f8	5070608.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1490_recal_reads.bai
dg.4DFC/7c2ce694-7e7e-5ff3-a937-5349711eb207	9e6937357cb2613439171c5a2bd97bb2	16377048838.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1490_recal_reads.bam
dg.4DFC/a6fafbee-0d14-54fe-884a-1446b6c7e2a4	b302eda7eb5a6439e8c175a1452e3279	5319912.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1585_recal_reads.bai
dg.4DFC/2e4a4b8a-ea6e-5103-9d5a-33b3b20fde48	6bddefa0799b846241da395be70691e3	18016949980.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1585_recal_reads.bam
dg.4DFC/e835b8a9-e1a0-54d1-b84a-ac21ab8e6048	4d4da4a0d3f48ba62695ab5442f144b3	5151016.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N167_recal_reads.bai
dg.4DFC/12ad4079-27a9-5f7f-bf3d-f48eb6c83694	9edeb69cfee4a59ef49f9905ffeee310	18601545387.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N167_recal_reads.bam
dg.4DFC/b73ad6d2-2ffa-5d53-82db-08847a3ae05b	3437b8be1ec1ca1afecfa35724353826	5142120.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1834_recal_reads.bai
dg.4DFC/5110f35b-58a8-52ff-9234-cb7cb69ac608	274489bc1cdc1c50475248d56a350b3f	6983438690.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1834_recal_reads.bam
dg.4DFC/45e30a6c-ae48-5fce-938a-92dd26cf78d3	99f8bda2615a46b5f8e3bf6d42407c63	4975664.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1860_recal_reads.bai
dg.4DFC/bfc2e8b4-aed2-5912-8efa-42e66f516fa3	df22db797646f2db32f04f009719bfa7	14079861902.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1860_recal_reads.bam
dg.4DFC/26a5143d-ce2f-5051-9ef7-369cec6fbe8a	7450e90c3464d59d5d077f26b71ab162	5105752.0	['Open']	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1891_recal_reads.bai
