type	study.clinical_study_designation	cohort.cohort_record_id	case_record_id	patient_id
case	UBC01	UBC01-vemurafenib 25mg/kg	UBC01-783-879-Vm01	783-879-Vm01
case	UBC01	UBC01-vemurafenib 25mg/kg	UBC01-784-125-Vm02	784-125-Vm02
case	UBC01	UBC01-vemurafenib 25mg/kg	UBC01-784-877-Vm03	784-877-Vm03
case	UBC01	UBC01-vemurafenib 50mg/kg	UBC01-785-211-Vm04	785-211-Vm04
case	UBC01	UBC01-vemurafenib 50mg/kg	UBC01-779-441-Vm05	779-441-Vm05
case	UBC01	UBC01-vemurafenib 50mg/kg	UBC01-786-332-Vm06	786-332-Vm06
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-787-138-Vm07	787-138-Vm07
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-780-519-Vm08	780-519-Vm08
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-787-269-Vm09	787-269-Vm09
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-787-917-Vm10	787-917-Vm10
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-788-602-Vm11	788-602-Vm11
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-788-785-Vm12	788-785-Vm12
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-781-811-Vm13	781-811-Vm13
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-789-334-Vm14	789-334-Vm14
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-742-616-Vm15	742-616-Vm15
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-789-663-Vm16	789-663-Vm16
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-785-315-Vm17	785-315-Vm17
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-775-099-Vm18	775-099-Vm18
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-790-651-Vm19	790-651-Vm19
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-776-675-Vm20	776-675-Vm20
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-790-957-Vm21	790-957-Vm21
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-790-955-Vm22	790-955-Vm22
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-791-182-Vm23	791-182-Vm23
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-791-476-Vm24	791-476-Vm24
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-792-523-Vm25	792-523-Vm25
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-792-406-Vm26	792-406-Vm26
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-791-912-Vm27	791-912-Vm27
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-792-526-Vm28	792-526-Vm28
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-793-014-Vm29	793-014-Vm29
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-793-142-Vm30	793-142-Vm30
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-793-265-Vm31	793-265-Vm31
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-793-464-Vm32	793-464-Vm32
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-748-065-Vm33	748-065-Vm33
case	UBC01	UBC01-vemurafenib 37.5mg/kg	UBC01-793-959-Vm34	793-959-Vm34
case	UBC01	UBC01-Healthy Controls	UBC01-PCBCC-CDHMCL	PCBCC-CDHMCL
case	UBC01	UBC01-Healthy Controls	UBC01-PCBCC-CDGMDD	PCBCC-CDGMDD
case	UBC01	UBC01-Healthy Controls	UBC01-PCBCC-CDDMAH	PCBCC-CDDMAH
case	UBC01	UBC01-Healthy Controls	UBC01-PCBCC-CDEMBC	PCBCC-CDEMBC
