type	case.case_record_id	demographic_record_id	breed	additional_breed_detail	patient_age_at_enrollment	date_of_birth	sex	weight	neutered_indicator
demographic	UBC03-775-307	UBC03-775-307	Scottish Terrier		8.7	1/4/2006	Female	9.8	No
demographic	UBC03-776-675	UBC03-776-675	Scottish Terrier		8.6	7/1/2006	Male	11.9	Yes
demographic	UBC03-775-214	UBC03-775-214	Scottish Terrier		7.7	2/21/2007	Male	6.6	Yes
demographic	UBC03-774-615	UBC03-774-615	Scottish Terrier		10.8	1/1/2004	Female	9.2	Yes
demographic	UBC03-787-089	UBC03-787-089	Scottish Terrier		5.8	6/29/2010	Female	10.1	Yes
demographic	UBC03-775-099	UBC03-775-099	Scottish Terrier		6.5	4/22/2008	Male	12.9	Yes
demographic	UBC03-775-220	UBC03-775-220	Scottish Terrier		9.9	11/15/2004	Female	10	Yes
demographic	UBC03-775-221	UBC03-775-221	Scottish Terrier		6.8	1/16/2008	Male	13.9	Yes
demographic	UBC03-775-801	UBC03-775-801	Scottish Terrier		10.9	1/1/2004	Female	9.2	Yes
demographic	UBC03-775-230	UBC03-775-230	Scottish Terrier		7.1	9/21/2007	Female	9.3	Yes
demographic	UBC03-774-569	UBC03-774-569	Scottish Terrier		8.8	12/1/2005	Female	12.3	Yes
demographic	UBC03-774-859	UBC03-774-859	Scottish Terrier		7.3	5/29/2007	Male	10.5	Yes
demographic	UBC03-784-881	UBC03-784-881	Scottish Terrier		11	5/3/2005	Female	12.4	Yes
demographic	UBC03-774-967	UBC03-774-967	Scottish Terrier		7.8	11/30/2006	Female	9.2	Yes
demographic	UBC03-758-158	UBC03-758-158	Scottish Terrier		8	7/28/2006	Female	8.7	Yes
demographic	UBC03-800-425	UBC03-800-425	Scottish Terrier		6.4	5/1/2008	Female	13.8	Yes
demographic	UBC03-PCBCC-CDHMCL-CONT	UBC03-PCBCC-CDHMCL-CONT	Mixed Breed		1	3/15/2012	Female	18	No
demographic	UBC03-PCBCC-CDGMDD-CONT	UBC03-PCBCC-CDGMDD-CONT	Mixed Breed		1	3/1/2012	Female	18.7	No
demographic	UBC03-PCBCC-CDDMAH-CONT	UBC03-PCBCC-CDDMAH-CONT	Mixed Breed		1.1	2/10/2012	Female	19	No
demographic	UBC03-PCBCC-CDEMBC-CONT	UBC03-PCBCC-CDEMBC-CONT	Mixed Breed		1.1	1/30/2012	Female	18	No
