Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
workingCopy_G,Chrome 91.0.4472.124,,,2021-07-19 13:58:08,2021-07-19 14:06:04,7m - 56.104s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/StudyCombinations/Study-Combinations-UBC01/TC01_Canine_StudyUBC-Breed_Diagnosis_PrimDiseaseSite,Chrome 91.0.4472.124,"This test case automates the following work flow:
1. Clicking on the Cases Button in Integrated Canine Data Commons (ICDC) application.
2. Clicking the Study dropdown
3. Selecting the desired Study by selecting the checkbox
4. Comparing the results displayed in UI with the results queried from Neo4j database for the seleted dataset.
",Filter,2021-07-19 13:58:10,2021-07-19 14:01:01,2m - 51.067s,PASSED
Start listener action : getTestScriptName,Chrome 91.0.4472.124,,,2021-07-19 13:58:10,2021-07-19 13:58:10,0.090s,PASSED
closeBrowser(),Chrome 91.0.4472.124,"Opens the browser of choice: Chrome, Firefox or Edge",,2021-07-19 13:58:11,2021-07-19 13:58:12,0.319s,PASSED
"""Driver opened by Katalon is used in Selenium from this step.""",Chrome 91.0.4472.124,,,2021-07-19 13:58:12,2021-07-19 13:58:12,0.001s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_StudyUBC-Breed_Diagnosis_PrimDiseaseSite.xlsx"")",Chrome 91.0.4472.124,"This step takes the Query from input excel and fetches data from Neo4j database. 
Saves the results from neo4j and application in the same name mentioned in the input excel. ",,2021-07-19 13:58:12,2021-07-19 13:58:42,30.010s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 20)",Chrome 91.0.4472.124,Clicks on the Cases button in the Navbar of ICDC's homepage.,,2021-07-19 13:58:42,2021-07-19 13:58:42,0.139s,PASSED
"verifyElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 91.0.4472.124,,,2021-07-19 13:58:42,2021-07-19 13:58:42,0.107s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:42,2021-07-19 13:58:42,0.182s,PASSED
"out.println(""Clicked Cases button"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:42,2021-07-19 13:58:42,0.001s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 20)",Chrome 91.0.4472.124,,,2021-07-19 13:58:42,2021-07-19 13:58:43,0.853s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 5)",Chrome 91.0.4472.124,,,2021-07-19 13:58:43,2021-07-19 13:58:43,0.275s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/FilterByCases_Facet"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:43,2021-07-19 13:58:43,0.179s,PASSED
"out.println(""Filter by Cases facet clicked"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:43,2021-07-19 13:58:43,0.001s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 30)",Chrome 91.0.4472.124,Clicks on the Filter 'Study' from left pane,,2021-07-19 13:58:43,2021-07-19 13:58:44,0.314s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 5)",Chrome 91.0.4472.124,,,2021-07-19 13:58:44,2021-07-19 13:58:44,0.134s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:44,2021-07-19 13:58:44,0.198s,PASSED
"out.println(""Study filter clicked"")",Chrome 91.0.4472.124,,,2021-07-19 13:58:44,2021-07-19 13:58:44,0.001s,PASSED
